"feat","avg(empathy.empathy)","avg(empathy.distress)","avg(empathy.empathy_bin)","avg(empathy.distress_bin)"
"!","3.7339862","4.0905963","0.4908","0.5321"
"""","3.5291032","3.7251984","0.4524","0.5238"
"#metoo","4.3330000","6.6250000","1.0000","1.0000"
"$","3.7879091","2.9204545","0.5455","0.2727"
"%","4.0111333","3.1000000","0.4667","0.2667"
"&","3.7000000","4.0000000","0.6000","0.6000"
"'","4.3044348","3.9891304","0.6957","0.6087"
"(","3.7777895","4.0109649","0.5263","0.5965"
")","3.8214464","4.0535714","0.5357","0.6071"
"*","3.8750000","3.4375000","0.7500","0.2500"
",","3.6979288","3.7017235","0.4944","0.4870"
"-","3.8436000","3.9211538","0.5077","0.5385"
".","3.6998960","3.7249455","0.4929","0.4853"
"..","4.1786429","4.7410714","0.5714","0.7857"
"...","3.2544474","3.3026316","0.3421","0.4474"
"....","2.2727273","2.3181818","0.1818","0.2727"
"/","3.1087391","3.2228261","0.3913","0.4348"
"0","4.0000000","3.6250000","1.0000","0.0000"
"0.85","5.6670000","6.1250000","1.0000","1.0000"
"000","5.1250000","3.3593750","0.8750","0.3750"
"1","4.5667000","4.5750000","0.6000","0.6000"
"1,200-","7.0000000","6.1250000","1.0000","1.0000"
"1,600","4.3330000","5.0000000","1.0000","1.0000"
"1,800","4.0000000","3.7500000","1.0000","0.0000"
"1.3","6.0002500","5.9062500","1.0000","1.0000"
"1.4","4.3330000","5.0000000","1.0000","1.0000"
"10","4.5000000","5.3020833","0.8333","0.9167"
"10,000","5.5000000","5.2500000","1.0000","1.0000"
"10-15","1.0000000","6.0000000","0.0000","1.0000"
"10-month-old","5.6670000","5.7500000","1.0000","1.0000"
"100","4.5087895","3.9407895","0.6316","0.5263"
"1000s","4.1670000","5.8750000","1.0000","1.0000"
"101","2.8330000","4.2500000","0.0000","1.0000"
"11","3.8335000","5.8125000","0.5000","1.0000"
"11th","5.0000000","5.5000000","1.0000","1.0000"
"12","6.5000000","6.5000000","1.0000","1.0000"
"12-year-old","5.5000000","5.7500000","1.0000","1.0000"
