	tokens	ratings
0	fluted	2.9161599
1	danger	3.3310108
2	55	2.906806
3	speaking	3.1412756
4	photo	2.9199374
5	80s	3.1893933
6	parboiled	2.8992252
7	workforce	2.9750113
8	phosphorous	3.0802035
9	pakistan	3.0632353
10	stg	2.9047432
11	ray	2.9826567
12	condemned	3.394489
13	soda	2.9905157
14	inferiority	3.0373
15	murmuring	3.0733702
16	harmed	3.0836554
17	enjoying	3.4521484
18	modeler	2.899734
19	mps	2.9781802
20	san	2.9079623
21	toasty	3.1450076
22	journey	3.0466125
23	microsoft	3.0005045
24	books	2.9862864
25	nothing	3.213803
26	substance	2.9194741
27	occasionally	2.9587204
28	older	2.9174075
29	sat	2.9474761
30	fertilization	2.8995407
31	prehistoric	3.2540743
32	cubes	2.9338067
33	attached	2.9023442
34	additional	2.9134452
35	follies	3.0150793
36	philsophy	2.9052641
37	preservationists	3.1123977
38	include	2.8995903
39	geezers	3.2167788
40	125	2.9032483
41	worrying	3.0680845
42	wendover	2.903482
43	alter	2.9080389
44	guests	2.9966936
45	flushed	3.2268333
46	unless	3.0277805
47	wildlife	3.042097
48	praised	3.5910852
49	cutcliffe	2.9883528
50	comments	2.9158773
51	deceive	3.0241687
52	compact	2.9664624
53	thorough	3.0449786
54	0830	2.8989027
55	9302	2.8989027
56	socially	3.0370128
57	strain	2.9878333
58	renewing	3.1694002
59	data	2.9055707
60	nevada	2.9098554
61	oliver	2.9195638
62	crews	3.09193
63	wednesday	3.051726
64	film	2.9161396
65	socialite	2.9555333
66	predominance	2.9035406
67	coast	3.0101268
68	sharp	3.1966734
69	.	2.8992004
70	83	2.9029322
71	bonnets	2.9528642
72	queer	3.1669905
73	equivalent	3.040042
74	aspect	2.9020314
75	enthralling	3.5513644
76	protectionist	2.9759848
77	approved	2.909953
78	bakery	2.9436948
79	barred	3.093057
80	weren	3.0913646
81	double	3.212884
82	forged	3.0859017
83	period	2.8999455
84	venetian	2.905238
85	obscenity	3.516421
86	sequestering	2.939324
87	may	2.957417
88	lingers	3.0375059
89	voiced	2.9675403
90	orion	2.9861553
91	anew	3.2951732
92	caliche	2.9206424
93	trademark	3.0254235
94	aico	2.9024384
95	instills	3.4053407
96	pot	2.9904077
97	inquiry	2.9017684
98	ribeiro	2.9143145
99	generosity	3.2298505
100	crosses	3.060698
101	".."""	2.9883528
102	rockford	3.2494497
103	joint	2.9443014
104	aha	3.313675
105	acknowledges	2.9320574
106	uplands	2.8993611
107	batted	2.9935904
108	failure	3.0864968
109	russell	2.8999405
110	exodus	3.012892
111	sunset	2.9692333
112	snake	3.2357967
113	flowing	3.1158736
114	experimenters	2.928262
115	route	2.9038346
116	reduce	2.9645848
117	confronted	3.2447019
118	partly	2.9032764
119	confident	3.2812269
120	mud	3.1246512
121	sum	3.0764647
122	padraic	2.903631
123	cart	2.9174721
124	rise	3.0838041
125	scruffy	2.9903662
126	fertility	2.905032
127	taijiquan	2.8989027
128	fm	2.9221692
129	vacant	2.9079316
130	incensed	3.6127744
131	expect	3.136207
132	tray	2.9032834
133	kept	3.1096685
134	annoying	3.381013
135	montreal	2.9319751
136	referred	2.902746
137	learn	3.3059723
138	holding	3.1827717
139	toward	2.946774
140	dried	2.9530666
141	bumped	3.3767169
142	damages	3.09941
143	sanctuaries	3.0817606
144	congressman	2.9844615
145	housing	2.902392
146	productivity	2.9856055
147	canyon	2.938625
148	opposing	3.1684308
149	colin	2.9023306
150	sharecroppers	2.9049566
151	alone	3.1338236
152	manager	2.902206
153	3360	2.8989873
154	71	2.9001179
155	reign	3.1368356
156	employs	2.9197192
157	justified	3.2223885
158	katrina	3.1513762
159	qualities	2.9442127
160	staid	2.923495
161	maturity	2.9432302
162	scan	2.9029117
163	approvingly	2.9466276
