	tokens	ratings
0	helps	3.0764
1	uncommon	1.4685402
2	blank	7.434498
3	iraqis	25.690176
4	explored	7.155875
5	concentrate	3.6896193
6	fabrication	7.451134
7	vividly	8.7023325
8	continuous	13.539257
9	combined	9.39581
10	platform	5.546798
11	reviews	4.0699153
12	town	3.3537111
13	arounf	2.8999178
14	questioned	12.766271
15	per	6.2898264
16	versus	2.6210299
17	heavier	5.8208685
18	weekends	1.7352667
19	degrees	4.4104333
20	tales	2.9364102
21	grateful	13.223786
22	ambulances	24.570675
23	inevitably	3.4881217
24	practical	1.6602684
25	doorstep	11.615496
26	pompous	1.695087
27	resume	2.6428661
28	softer	8.43897
29	country	6.2066693
30	reflect	7.444267
31	appalled	25.288757
32	tone	2.4150996
33	accusations	12.960272
34	befell	6.6209965
35	afterward	2.055025
36	week	6.4221063
37	jerk	1.6546172
38	branch	4.562593
39	pockets	4.5597305
40	charged	16.950129
41	victims	17.245068
42	doors	5.6942286
43	generally	1.3360791
44	presumably	1.2900574
45	is	5.039855
46	dictator	8.275832
47	monster	18.358086
48	vets	9.678515
49	wasn	2.344456
50	shares	5.420405
51	20	9.263386
52	dismantling	8.194501
53	guarded	2.994189
54	engage	6.9386773
55	blowing	5.0738497
56	physically	12.320849
57	flash	1.9262303
58	importance	4.310434
59	politician	2.5871453
60	adopt	11.728437
61	vegan	10.740603
62	sarah	13.89406
63	"!"""	2.7445464
64	senate	13.022117
65	tongue	3.416709
66	pence	9.863894
67	curiosity	2.9292846
68	staple	4.200028
69	colloquially	1.9974602
70	malfunctioned	11.1398
71	model	1.8647839
72	stole	6.9995923
73	originally	1.3963323
74	hails	9.241082
75	sway	1.9589235
76	psychotherapy	8.470252
77	operating	5.223281
78	surpring	2.7445464
79	currently	5.8352523
80	bloggers	2.8492477
81	shortage	6.7448764
82	yemeni	5.746576
83	explosion	16.746063
84	conveyor	32.039413
85	internalized	7.658156
86	twenty	7.942823
87	nail	3.3990464
88	wherever	4.0232706
89	spit	8.272196
90	nightmare	12.60868
91	fasciitis	16.578918
92	39	12.771371
93	soemoen	2.7445464
94	instance	5.228204
95	throwing	5.711318
96	injuries	7.777893
97	bites	4.094397
98	hamas	17.15532
99	defending	3.210333
100	rats	3.3355396
101	vigilante	8.107303
102	centers	8.976873
103	encouraging	10.575155
104	favorite	4.0873947
105	charge	5.902817
106	latino	8.962155
107	heard	4.668909
108	nervous	7.8492155
109	target	9.261216
110	healing	16.301441
111	bags	12.9975
112	reaction	6.754539
113	illegally	13.094872
114	pulled	10.256297
115	magazine	2.5693517
116	bothers	1.9429293
117	wraps	3.9287684
118	kill	16.619247
119	letters	8.221901
120	guantanamo	12.449379
121	arabia	8.680157
122	molest	14.445294
123	9	10.311256
124	rallying	4.5498896
125	acted	6.64025
126	road	3.1719692
127	pipes	2.0194345
128	fan	2.2749195
129	smokey	2.1140296
130	penalty	10.342741
131	trade	4.0496593
132	educated	1.7723153
133	highlighting	8.763613
134	trainers	7.0257926
135	somewhat	1.402698
136	excerpt	6.1886444
137	pretend	1.9613446
138	pulmonary	3.7737606
139	turtle	15.232392
140	treatments	6.6686125
141	interesting	1.2607157
142	bed	11.901091
143	fahrenheit	7.622662
144	chemicals	22.823795
145	young	6.7883897
146	counting	14.91146
147	guilt	22.67215
148	myself	4.144597
149	rioters	10.4344015
150	strawberry	5.4239182
151	pipedreams	1.4878385
152	cliff	4.454976
153	influenced	4.6135197
154	besides	1.4237617
155	apparently	1.5628102
156	led	7.7017426
157	cool	1.6649162
158	undue	9.544561
159	gradually	6.5863447
160	divers	3.5167737
161	shortness	7.2516184
162	internet	2.8850698
163	legislate	5.100927
164	strongest	7.009249
165	color	11.350927
166	skunk	11.814665
167	detected	5.9812083
168	darker	9.143453
169	stop	18.192745
170	fished	4.418334
171	ayotte	22.091381
172	cope	8.42496
173	warrant	2.2527764
174	overly	2.398257
175	talented	5.3329263
176	overseeing	6.8934407
177	ensue	2.2972572
178	unattractive	7.8917036
179	12	11.905957
180	modern	3.1911688
181	ongoing	11.402937
182	mix	4.559267
183	el	2.7039678
184	fortune	4.7747273
185	coconuts	3.6185496
186	montana	4.637494
187	internal	4.0965343
188	unexplained	10.033057
189	stipulations	2.6579607
190	nigeria	9.142502
191	750	6.012679
192	fortunately	1.400674
193	graduated	2.2932014
194	sexist	7.5221505
195	compatable	1.5825195
196	migrant	16.754011
197	discriminating	8.159015
198	considerations	4.256042
199	tug	6.808249
200	mates	1.8029221
201	rioting	12.6532545
202	required	2.2929049
203	buses	15.518958
204	genuinely	4.6469607
205	promised	6.310943
206	dreamworld	1.772868
207	inaccessible	2.1890402
208	spots	4.5049253
209	tactics	7.4659414
210	smuggling	7.0174694
211	producers	8.201451
212	sensationalism	8.304838
213	artist	6.3377376
214	zealots	2.0279284
215	hottest	8.672247
216	policies	7.143238
217	omg	19.243885
218	lasted	1.7618102
219	penis	4.462783
220	acclaimed	7.8420534
221	rocket	6.030051
222	room	8.764834
223	2012	7.871089
224	crusade	8.408673
225	relief	4.491662
226	exclusive	3.3419406
227	deepest	9.633513
228	rent	9.363649
229	skin	7.5689797
230	academics	1.7845062
231	formatting	3.2558532
232	backwards	8.718683
233	waged	12.595826
234	marshal	6.5088263
235	positive	6.262627
236	kumail	2.7445464
237	outdated	7.3563094
238	asleep	6.534002
239	orange	4.957537
240	lemon	2.2292771
241	medieval	3.381333
242	afghan	22.290468
243	disagreeing	2.285316
244	handful	5.2968426
245	neglience	17.313795
246	angeles	5.321087
247	television	6.3888063
248	due	6.3166075
249	liked	1.5912364
250	motivated	6.1546373
251	beauty	6.11265
252	overwhelming	23.093346
253	extinct	2.8997378
254	evening	3.4301262
255	twitching	3.3510535
256	intentions	5.250981
257	shield	5.75396
258	bang	2.9218051
259	super	6.737221
260	explicit	5.3891983
261	myanmar	22.750124
262	obvious	1.604309
263	closeted	1.5795687
264	say	5.296082
265	heartbroken	24.974709
266	resulted	6.456064
267	mini	4.8622823
268	screaming	14.426551
269	intake	7.37447
270	fraud	13.085769
271	19	11.403274
272	whereas	1.6541983
273	upcoming	3.6906276
274	porch	7.380003
275	jack	1.410199
276	finished	8.717239
277	wounded	25.339571
278	grifting	2.4735386
279	closets	7.528792
280	pitcher	2.397725
281	equals	7.038687
282	flour	19.441446
283	wednesday	6.7179027
284	available	4.942683
285	1000s	7.956076
286	many	4.076292
287	--	3.03625
288	unclear	4.9530945
289	upon	5.802639
290	apart	3.6847136
291	switched	4.730341
292	deceived	15.58625
293	customers	12.66432
294	environmentalism	4.373277
295	complain	3.8685153
296	88	9.909002
297	provide	7.0892563
298	icon	3.1652226
299	heap	3.5551152
300	,”	2.7445464
301	hitler	12.734895
302	farmer	9.11672
303	ballot	7.014002
304	celebrities	1.4121442
305	outlines	11.432154
306	tragic	17.967075
307	shoe	7.6912103
308	“...	2.7445464
309	exile	2.1616774
310	—	6.2050753
311	blazing	11.428391
312	ruins	2.6706858
313	profiling	9.619111
314	likelihood	3.7350361
315	wives	3.176733
316	science	9.689371
317	toughest	8.489947
318	identify	12.747422
319	exhausted	21.055904
320	shorter	1.9025201
321	predijuce	2.7445464
322	beaches	6.3246098
323	generic	1.9396597
324	wordly	1.7535862
325	tasers	26.050148
326	odd	1.4180951
327	need	6.137063
328	constructive	2.4538932
329	somewhere	1.3544613
330	gunshot	8.749445
331	sorrow	23.034966
332	chanted	21.918251
333	ringing	5.0019407
334	syria	17.857534
335	stimulated	3.00522
336	oak	4.8806443
337	siteson	2.7445464
338	samuel	10.419209
339	legacy	3.4103413
340	athlete	3.3720708
341	loot	6.402603
342	entrepreneurs	2.344957
343	face	14.663515
344	british	4.2582936
345	box	3.221424
346	latinos	7.893596
347	ol	2.3779924
348	halloweed	2.7445464
349	policing	9.451443
350	unless	1.7934614
351	soo	8.223771
352	raft	7.156492
353	peace	13.311219
354	divorced	3.3755407
355	freedoms	6.067327
356	nose	2.8346565
357	diplomatic	2.2236903
358	lover	8.540223
359	altering	6.1863194
360	confuses	3.9576318
361	mansour	10.522051
362	centrists	2.4001644
363	meant	3.3621314
364	manmade	4.766378
365	morocco	6.0459466
366	saved	7.0904927
367	hiking	2.373368
368	helpful	2.6941118
369	overcoming	7.2448974
370	pleading	17.074335
371	generates	6.7240953
372	negligent	18.388615
373	bigoted	8.283755
374	risky	4.281512
375	character	2.133083
376	targeting	9.198253
377	communist	4.3172107
378	koo	2.615515
379	minnesota	7.9644904
380	stolen	7.8854804
381	hospitals	18.706224
382	deportation	12.74773
383	40s	3.0259004
384	wanna	3.6854558
385	furious	19.424343
386	broadcasted	4.4399834
387	exploit	7.3439403
388	someday	1.6312541
389	banks	9.713528
390	screened	12.335941
391	copy	5.6562095
392	horrid	15.237595
393	head	7.2317133
394	environment	9.532163
395	saudi	6.876212
396	disingenuous	7.13089
397	punish	23.221945
398	praise	4.5535293
399	might	1.6776447
400	mostly	1.3536125
401	thick	4.3158035
402	quota	12.138873
403	mutilate	29.512047
404	hit	7.6645117
405	spokeswoman	21.479763
406	strip	7.674845
407	assad	24.159927
408	positivity	16.545708
409	halted	19.687622
410	bizarre	4.959658
411	moratorium	11.559233
412	canal	10.9652605
413	firm	6.2050805
414	appalachia	10.668638
415	frienda	15.145841
416	grain	8.763762
417	protect	11.4225235
418	subjugate	17.93348
419	segments	5.5711875
420	unsuspecting	10.071501
421	negative	8.937765
422	korea	5.27258
423	voters	6.579905
424	nicolas	11.394947
425	targeted	12.803963
426	ardent	5.751188
427	asistance	2.6158457
428	tense	9.396806
429	acrobatic	6.0208383
430	ate	5.7285643
431	ono	3.7513452
432	chickens	6.5123
433	debts	6.181879
434	conditioned	5.7540717
435	chalking	10.178115
436	shackles	5.8436837
437	congress	10.7281275
438	sue	7.8123736
439	insight	3.4559977
440	financial	7.566949
441	politcis	2.7445464
442	basis	6.125381
443	cites	7.613103
444	fuels	8.93606
445	poll	2.7239602
446	firmly	4.6718855
447	arduous	7.6616974
448	classes	4.821302
449	preying	13.583597
450	republicans	8.977379
451	against	5.454084
452	sand	10.4310875
453	held	4.5874786
454	colonialism	17.139057
455	diets	5.154036
456	harmful	14.207915
457	global	9.905236
458	complicates	6.0693254
459	devastated	24.57987
460	describe	7.8202887
461	outstanding	2.6166034
462	recklessness	14.765711
463	assuming	1.3148507
464	evident	5.5106835
465	unsolved	6.0387425
466	monitored	8.541744
467	fingers	11.129918
468	indication	3.8319352
469	occured	2.2930233
470	melatonin	11.6581
471	saturday	5.2201176
472	organs	8.032053
473	gop	8.170018
474	publicly	4.1753225
475	uk	6.789104
476	!”	2.7445464
477	moments	8.584893
478	manafucters	2.7445464
479	erosion	8.719212
480	card	16.256948
481	intense	11.249006
482	complete	5.29125
483	encounter	5.894293
484	grew	7.9063454
485	introduce	11.277424
486	delaware	11.032964
487	must	12.210477
488	rankings	3.2294397
489	fruit	4.9543514
490	complacent	7.1027985
491	fired	9.2602625
492	elephant	19.01213
493	inherit	1.9749708
494	precaution	9.886287
495	awfully	6.241054
496	2001	3.0567892
497	endless	9.169048
498	etc	1.6467708
499	severe	8.450601
500	managed	3.7141187
501	exposure	8.3741665
502	seems	1.7927817
503	trigger	6.9103646
504	dumped	10.285819
505	tabs	2.388874
506	courts	3.3491166
507	imagining	5.5008464
508	cried	33.64865
509	included	1.9599147
510	putting	7.1476483
511	march	15.030395
512	larger	3.5733948
513	awake	4.2902503
514	destroy	14.696508
515	hire	7.857655
516	scourge	14.103545
517	casual	2.64155
518	rough	10.754829
519	done	6.890442
520	approaches	5.8238134
521	guidance	5.227507
522	hunted	10.510459
523	enforcement	3.235594
524	standing	5.4532776
525	referring	4.944619
526	assimilate	7.4715123
527	rates	8.859601
528	at	6.919614
529	apples	4.0117188
530	migrate	3.3432167
531	meal	7.9464207
532	likely	1.3651288
533	detainees	30.53619
534	legend	2.5244684
535	soft	6.6299944
536	alleged	12.671026
537	page	7.3914876
538	requires	3.4181833
539	store	7.3849216
540	sweeps	2.3696096
541	autopsies	15.844038
542	sell	4.7473993
543	fail	3.1152756
544	flushing	3.6736627
545	battles	3.1626227
546	knowledge	3.2474298
547	documents	7.4188166
548	.’	2.7445464
549	disagreement	2.9503486
550	uninvited	7.2744365
551	okay	4.185448
552	sever	12.972013
553	monday	7.613469
554	oth	2.5836163
555	foul	14.302532
556	slam	4.2646003
557	hold	6.6610475
558	voter	6.849088
559	prosecuted	9.738638
560	drill	5.8897448
561	unsympathetic	10.2386465
562	monitor	14.488015
563	pose	3.5846953
564	access	6.490828
565	addictions	7.180664
566	texas	9.370278
567	idiots	1.5142077
568	discriminate	13.362899
569	apprehensive	13.908781
570	chose	6.581164
571	happeneds	2.8673186
572	dietary	6.7884364
573	similar	1.6628929
574	renewable	15.617638
575	offer	6.853976
576	behaviors	12.025253
577	stages	11.81925
578	99	2.5929627
579	lifelong	6.7505984
580	grant	4.515121
581	affairs	2.3596737
582	dr	7.1385837
583	filter	1.951328
584	humiliating	17.13796
585	bud	2.5147116
586	bindi	6.851436
587	headed	5.6095705
588	nutrients	13.967371
589	fodder	1.7878023
590	acts	8.13661
591	golden	5.6700263
592	variety	2.317445
593	discover	8.255415
594	heel	7.868863
595	domestic	6.6209354
596	truly	10.229388
597	”	10.61488
598	nurturing	15.769755
599	abusing	22.179293
600	hindsight	3.4739456
601	empathize	22.807611
602	shudder	6.559302
603	fracebook	2.7445464
604	shortened	3.8469796
605	poorer	4.844641
606	activate	7.8609185
607	wounds	15.621598
608	behavior	7.8507957
609	depraved	24.873745
610	backwater	1.919014
611	dissapointment	3.4964466
612	signing	6.792829
613	ruin	3.8862398
614	lighter	5.3680634
615	peers	4.660371
616	researching	3.7386355
617	locking	2.468084
618	aww	15.875126
619	rhony	2.7445464
620	acceptance	8.672205
621	daunting	11.958623
