	tokens	ratings
0	helps	10.416898
1	uncommon	3.9541576
2	blank	6.904678
3	iraqis	19.27065
4	explored	10.91598
5	concentrate	7.202869
6	fabrication	3.4741051
7	vividly	11.48485
8	continuous	11.384013
9	combined	5.117172
10	platform	8.1394415
11	reviews	5.9280624
12	town	6.7061877
13	arounf	6.9821134
14	questioned	5.851724
15	per	8.488466
16	versus	10.3016615
17	heavier	8.682235
18	weekends	3.8527389
19	degrees	8.129971
20	tales	5.524066
21	grateful	14.7563305
22	ambulances	16.68794
23	inevitably	3.357883
24	practical	5.0340943
25	doorstep	14.358825
26	pompous	3.1624556
27	resume	7.3073473
28	softer	8.605094
29	country	6.4865727
30	reflect	9.469382
31	appalled	3.2880187
32	tone	5.290594
33	accusations	5.777352
34	befell	9.178264
35	afterward	5.069146
36	week	3.946324
37	jerk	2.0560176
38	branch	3.323344
39	pockets	5.546266
40	charged	7.158836
41	victims	10.294808
42	doors	6.804965
43	generally	3.6095264
44	presumably	3.7171004
45	is	5.6770315
46	dictator	2.4254081
47	monster	4.9137225
48	vets	16.142801
49	wasn	3.6187258
50	shares	8.181156
51	20	14.267134
52	dismantling	3.3891437
53	guarded	5.748124
54	engage	8.59175
55	blowing	2.8595154
56	physically	9.826927
57	flash	2.4009976
58	importance	13.136235
59	politician	4.8860044
60	adopt	6.8778186
61	vegan	8.371341
62	sarah	15.128157
63	"!"""	3.5447295
64	senate	9.625473
65	tongue	11.61231
66	pence	11.720724
67	curiosity	2.3817546
68	staple	7.8992143
69	colloquially	9.925668
70	malfunctioned	5.709414
71	model	4.128558
72	stole	6.5051913
73	originally	4.016384
74	hails	12.533836
75	sway	2.476421
76	psychotherapy	12.876612
77	operating	7.035405
78	surpring	3.5447295
79	currently	3.5251482
80	bloggers	4.112057
81	shortage	4.213597
82	yemeni	7.7873316
83	explosion	11.529437
84	conveyor	24.715876
85	internalized	14.626126
86	twenty	4.5923963
87	nail	4.740075
88	wherever	8.198612
89	spit	8.749399
90	nightmare	3.5225494
91	fasciitis	18.955208
92	39	11.631174
93	soemoen	3.5447295
94	instance	4.713069
95	throwing	4.119281
96	injuries	14.843472
97	bites	7.3809276
98	hamas	11.285434
99	defending	4.8939114
100	rats	8.319256
101	vigilante	5.9792886
102	centers	8.748859
103	encouraging	4.254323
104	favorite	7.3970785
105	charge	3.3563366
106	latino	7.4422755
107	heard	7.242831
108	nervous	2.9938657
109	target	16.285688
110	healing	36.016235
111	bags	11.123639
112	reaction	3.6630955
113	illegally	4.4200306
114	pulled	5.4812
115	magazine	3.9187543
116	bothers	2.0546978
117	wraps	9.340827
118	kill	10.0162525
119	letters	11.801626
120	guantanamo	5.414799
121	arabia	4.9356675
122	molest	3.3582382
123	9	10.854984
124	rallying	13.392392
125	acted	2.91836
126	road	8.422846
127	pipes	5.9998336
128	fan	2.5744438
129	smokey	7.35285
130	penalty	8.0706215
131	trade	2.309945
132	educated	5.600058
133	highlighting	7.6252136
134	trainers	4.81783
135	somewhat	1.9958322
136	excerpt	11.713048
137	pretend	1.9011745
138	pulmonary	10.967218
139	turtle	9.624915
140	treatments	8.30061
141	interesting	3.5561287
142	bed	5.5522103
143	fahrenheit	8.581735
144	chemicals	6.625405
145	young	9.646841
146	counting	12.63924
147	guilt	18.613073
148	myself	2.5133393
149	rioters	12.315807
150	strawberry	5.723592
151	pipedreams	2.2883654
152	cliff	7.093812
