"id","term","category","weight"
"1","remember","D","0.06366145510294888"
"2","what","D","0.008770843858503262"
"3","she","D","-0.1380485145065258"
"4","said","D","0.13829132251905518"
"5","in","D","-0.013571027701988031"
"6","my","D","-0.028681967417186538"
"7","last","D","-0.0485631152653693"
"8","letter","D","0.0015258957789454622"
"9","?","D","-0.2548722939281764"
"10","""","D","0.12891007260813586"
"11","if","D","-0.024365080691147234"
"12","i","D","0.200282662953235"
"13","wasn't","D","-0.10458912279822884"
"14","working","D","0.009749062778907714"
"15","here","D","-0.02981147989680632"
"16",".","D","0.084846510518962"
"17","..","D","0.004900825815748361"
"18","goodwill","D","0.29766479316491484"
"19","helps","D","0.08682204941181261"
"20","people","D","-0.12334731391436851"
"21","get","D","0.3225766265733303"
"22","off","D","0.13387674685786957"
"23","of","D","0.13847028090217164"
"24","public","D","0.00979739668041166"
"25","assistance","D","0.024079052829988328"
"26","sherry","D","0.01492545304210929"
"27","learned","D","0.05765095997714271"
"28","through","D","-0.023129813287980427"
"29","our","D","0.6058899406346006"
"30","future","D","0.07813921701238245"
"31","works","D","0.1135607918141622"
"32","class","D","0.019468649667047123"
"33","that","D","0.22047327985331613"
"34","could","D","-0.0887802293187082"
"35","rise","D","0.05209177008260753"
"36","out","D","0.15506030808495916"
"37","the","D","0.07938582393839036"
"38","mire","D","0.01492545304210929"
"39","welfare","D","0.007396188067229971"
"40","system","D","-0.04137054253295603"
"41","and","D","0.19879418465023566"
"42","support","D","0.12722546778289215"
"43","her","D","0.11811105467687646"
"44","family","D","-0.0351934322254841"
"45","coming","D","0.0677542161178924"
"46","to","D","0.12812216826412487"
"47","was","D","-0.5698407538974664"
"48","first","D","0.22468086922369213"
"49","step","D","0.0803759327012174"
"50","toward","D","0.022620712570621447"
"51","becoming","D","0.043088793015670875"
"52","totally","D","0.05919646561343837"
"53","independent","D","0.02869823469434352"
"54","am","D","0.10571419087271741"
"55","now","D","0.3046554741863043"
"56","...","D","-0.08626651095255997"
"57","prepares","D","0.003969174342971986"
"58","for","D","0.11481075650796195"
"59","life-long","D","0.003969174342971986"
"60","employment","D","-0.012083095537892809"
"61","here's","D","0.006825834161651376"
"62","another","D","-0.06447095693647638"
"63","story","D","0.1441619077853481"
"64","success","D","0.14483401106552746"
"65","from","D","-0.07135142248890644"
"66","might","D","0.12486097348938592"
"67","seem","D","-0.013894259811785615"
"68","like","D","-0.0049259733762757685"
"69","an","D","0.13868951596276297"
"70","unlikely","D","-0.011393057738399706"
"71","source","D","-0.01478690506113094"
"72",":","D","-0.04533807356861892"
"73","goodwill's","D","-0.01472924395122245"
"74","controller","D","-0.0027558130036141643"
"75",",","D","0.08151460722741785"
"76","juli","D","-0.0027558130036141643"
"77","cornell","D","0.0077879775159441405"
"78","found","D","0.13689316516164776"
"79","a","D","0.10733603697592396"
"80","number","D","-0.02916452844591468"
"81","options","D","0.01807298888287768"
"82","he","D","-0.20436334817455856"
"83","never","D","-0.09883376588599803"
"84","dreamed","D","0.0077879775159441405"
"85","existed","D","-0.0054001012189197764"
"86","after","D","-0.3649439072349592"
"87","work-site","D","0.0077879775159441405"
"88","injury","D","-0.06052191607034458"
"89","forced","D","-0.02336677188981354"
"90","him","D","0.37914237163706305"
"91","his","D","-0.15734804650778403"
"92","job","D","0.10670668594820884"
"93","at","D","-0.04389919874875717"
"94","foundry","D","0.0077879775159441405"
"95","trained","D","0.0071524748453524935"
"96","desktop","D","0.02013332271114373"
"97","publishing","D","0.028205061878807426"
"98","combined","D","0.0064685673917046"
"99","enthusiastic","D","0.042602915495102915"
"100","work","D","0.07227867598671729"
"101","ethic","D","0.007423453594896064"
"102","with","D","0.18525264676183512"
"103","new-found","D","0.003898216401974272"
"104","skills","D","0.061469038959421"
"105","burgeoning","D","-0.0075693391751025475"
"106","industry","D","-0.10529340106892013"
"107","dear","D","-0.08472652147619744"
"108","i've","D","0.09641065911992704"
"109","got","D","0.1265791231629489"
"110","more","D","0.14663824947619145"
"111","than","D","0.0748167377804748"
"112",";","D","0.01802108639071686"
"113","career","D","0.05883401788971101"
"114","lifetime","D","0.026159234824937237"
"115","trials","D","0.009283926863980692"
