"id","term","category","weight"
"1","this","DISTRESS","7.2595005355596065"
"2","situation","DISTRESS","6.676489597395382"
"3","i","DISTRESS","-3.122754816834173"
"4","read","DISTRESS","3.1914934369762946"
"5","about","DISTRESS","-5.32440797569588"
"6","concerning","DISTRESS","-1.3249971452928755"
"7","refugees","DISTRESS","-8.488828476264057"
"8","fleeing","DISTRESS","5.21798074577309"
"9","to","DISTRESS","2.5806536641527362"
"10","mediterranean","DISTRESS","3.1273264147070616"
"11","countries","DISTRESS","6.813450163651718"
"12","such","DISTRESS","14.403514881095115"
"13","as","DISTRESS","-0.802955295720261"
"14","greece","DISTRESS","1.0741638584627207"
"15","and","DISTRESS","2.6144641855122597"
"16","italy","DISTRESS","1.7424595579691793"
"17","is","DISTRESS","3.1151636290060223"
"18","sad","DISTRESS","4.448701386111774"
"19","concerns","DISTRESS","1.7526979073407294"
"20","me","DISTRESS","11.38426067198585"
"21",".","DISTRESS","-7.144621073174877"
"22","clearly","DISTRESS","-15.510620470678361"
"23","the","DISTRESS","-1.4581045040491691"
"24","conditions","DISTRESS","-0.16952633798716052"
"25","in","DISTRESS","-2.637553744999751"
"26","their","DISTRESS","4.36618854630081"
"27","native","DISTRESS","-0.9015523245683916"
"28","have","DISTRESS","5.329905406751648"
"29","gotten","DISTRESS","-0.6969271965785714"
"30","be","DISTRESS","-0.73148744144879"
"31","so","DISTRESS","13.165103204699186"
"32","unbearable","DISTRESS","3.5009012127256"
"33","that","DISTRESS","-0.04422855918344881"
"34","they","DISTRESS","0.7831036373628424"
"35","are","DISTRESS","0.14802459159769"
"36","willing","DISTRESS","1.5607111646065164"
"37","risk","DISTRESS","-0.9610123998725305"
"38","own","DISTRESS","-7.028844377399431"
"39","families","DISTRESS","-1.5217256049529715"
"40","'","DISTRESS","4.099720310862451"
"41","lives","DISTRESS","4.638045295761459"
"42","try","DISTRESS","-2.4195039327214065"
"43","for","DISTRESS","-2.0885204054204625"
"44","a","DISTRESS","-2.5236589711870514"
"45","different","DISTRESS","-1.4986769697154991"
"46","life","DISTRESS","3.0325529849408053"
"47","another","DISTRESS","-6.191472390378448"
"48","country","DISTRESS","-0.711464861501193"
"49",",","DISTRESS","0.46403971440625336"
"50","with","DISTRESS","2.260763467878837"
"51","no","DISTRESS","-14.144347987848432"
"52","guarantee","DISTRESS","-4.711196053153382"
"53","there","DISTRESS","-3.130752615515754"
"54","would","DISTRESS","-10.898260926738583"
"55","an","DISTRESS","-9.569467135602927"
"56","improvement","DISTRESS","0.12420945211373653"
"57","its","DISTRESS","-2.10499217718641"
"58","difficult","DISTRESS","-6.6064935285553945"
"59","understand","DISTRESS","14.712491484276741"
"60","must","DISTRESS","-2.2496255291755456"
"61","terrible","DISTRESS","21.26927227783971"
"62","these","DISTRESS","9.364514630208925"
"63","due","DISTRESS","2.6619041089903455"
"64","horrendous","DISTRESS","0.07528808641858396"
"65","governance","DISTRESS","0.07528808641858396"
"66","which","DISTRESS","-1.335332381426217"
"67","suppose","DISTRESS","-3.5127814115128677"
"68","something","DISTRESS","-0.5932802374947468"
"69","typical","DISTRESS","2.3235391888333634"
"70","american","DISTRESS","4.506883710672942"
"71","picture","DISTRESS","-4.011699340686244"
"72","i'm","DISTRESS","-14.062029482312298"
"73","glad","DISTRESS","3.4026571476221914"
"74","we","DISTRESS","13.912997659129918"
"75","live","DISTRESS","2.525369629036674"
"76","where","DISTRESS","-19.515337391303035"
"77","relative","DISTRESS","1.6677793243605847"
"78","freedoms","DISTRESS","-1.5457263571823203"
"79","individual","DISTRESS","4.608397438758806"
"80","his","DISTRESS","-0.8809607333203336"
"81","or","DISTRESS","2.444719863083692"
"82","her","DISTRESS","-1.2355926434919322"
"83","family","DISTRESS","7.903768991963384"
"84","can","DISTRESS","-5.510275315768338"
"85","independently","DISTRESS","0.07528808641858396"
"86","get","DISTRESS","4.183028043145914"
"87","needs","DISTRESS","15.390965177161338"
"88","met","DISTRESS","2.1523560654278144"
"89","wants","DISTRESS","0.6168222693857769"
"90","living","DISTRESS","1.2771485622937462"
"91","fear","DISTRESS","7.95816341166134"
"92","way","DISTRESS","3.281345280113465"
"93","feel","DISTRESS","-3.5837630627925696"
"94","very","DISTRESS","2.536090966377931"
"95","sorry","DISTRESS","-9.32157279102575"
"96","entire","DISTRESS","2.2054788038020092"
"97","regarding","DISTRESS","-7.0362254361959735"
"98","divorce","DISTRESS","-3.315046915311738"
"99","even","DISTRESS","-2.689475931362896"
"100","though","DISTRESS","-19.907169242457297"
"101","daughters","DISTRESS","2.7336802240305365"
"102","now","DISTRESS","1.847516523303639"
"103","adults","DISTRESS","-3.4132139946506803"
"104","doesn't","DISTRESS","-6.136528420465512"
"105","mean","DISTRESS","-1.0078320603615158"
"106","aren't","DISTRESS","13.282606343976285"
"107","negatively","DISTRESS","-0.34135985535128077"
"108","affected","DISTRESS","1.5959311674201713"
"109","twenty-seven","DISTRESS","1.5360191097936862"
"110","years","DISTRESS","15.454767156113324"
"111","long","DISTRESS","-13.513909125209304"
"112","time","DISTRESS","-9.79287515646983"
"113","married","DISTRESS","-6.368060354968012"
"114","think","DISTRESS","-4.008273689579287"
"115","translates","DISTRESS","1.5360191097936862"
"116","period","DISTRESS","2.617768085701244"
"117","of","DISTRESS","-0.2995386772822428"
"118","healing","DISTRESS","3.289641593499228"
"119","parents","DISTRESS","-1.979101204118726"
"120","not","DISTRESS","-0.20627310579625524"
"121","good","DISTRESS","-3.5258579503154617"
"122","also","DISTRESS","-0.114902932270904"
"123","wonder","DISTRESS","-17.180979716707576"
"124","impact","DISTRESS","3.499926119739726"
"125","on","DISTRESS","2.6589456867070336"
"126","image","DISTRESS","1.5360191097936862"
"127","security","DISTRESS","-4.964639563897967"
"128","marriage","DISTRESS","5.373001266590407"
"129","it","DISTRESS","-5.885408155694439"
"130","seems","DISTRESS","-10.177921474119042"
"131","did","DISTRESS","5.452514914129546"
"132","wish","DISTRESS","10.363837058091736"
"133","them","DISTRESS","0.21167183868974648"
"134","well","DISTRESS","-5.676944875263547"
"135","saddened","DISTRESS","7.3821812605076955"
"136","hear","DISTRESS","-1.590303963008595"
"137","news","DISTRESS","5.813314029366191"
"138","passing","DISTRESS","-0.8393051348361878"
"139","my","DISTRESS","-3.135533894069466"
"140","experience","DISTRESS","-8.028244006501819"
"141","believe","DISTRESS","0.21642912575722373"
"142","comedians","DISTRESS","-3.8101829024474774"
"143","into","DISTRESS","17.50571956677376"
"144","field","DISTRESS","2.0218120716513184"
"145","aspect","DISTRESS","-1.2042666692295438"
"146","desire","DISTRESS","0.9438944065156307"
"147","help","DISTRESS","12.481549970746332"
"148","people","DISTRESS","-0.004285040092139369"
"149","give","DISTRESS","-1.5951488795527806"
"150","few","DISTRESS","-6.59954807738647"
"151","laughs","DISTRESS","1.4803936783442375"
"152","don't","DISTRESS","-12.93474081160576"
"153","recall","DISTRESS","-0.5442926352631885"
"154","comedy","DISTRESS","0.19623512382919056"
"155","acts","DISTRESS","-10.229970017520209"
"156","but","DISTRESS","-11.0647057894293"
"157","reading","DISTRESS","-0.61178555488726"
"158","through","DISTRESS","6.709184260843496"
"159","tributes","DISTRESS","1.4803936783442375"
"160","sense","DISTRESS","-1.1701185283332238"
"161","liked","DISTRESS","-2.885232129024854"
"162","him","DISTRESS","-1.4730786839466898"
"163","alright","DISTRESS","1.4803936783442375"
"164","he","DISTRESS","-1.7326939400658166"
"165","was","DISTRESS","0.22401142589159373"
"166","guy","DISTRESS","-6.382960858643557"
"167","tagline","DISTRESS","1.4803936783442375"
"168","great","DISTRESS","-4.549595283383839"
"169","-","DISTRESS","3.925184064476036"
"170","""","DISTRESS","1.784097962890568"
"171","that's","DISTRESS","-17.98941810830843"
"172","right","DISTRESS","-7.260709979194049"
"173","if","DISTRESS","-1.4783324658324706"
"174","internalized","DISTRESS","1.4803936783442375"
"175","solid","DISTRESS","2.2756234493839003"
"176","wrong","DISTRESS","-5.858752680400867"
"177","didn't","DISTRESS","-12.219436210539426"
"178","know","DISTRESS","-4.984263041991632"
"179","work","DISTRESS","3.1649728410802918"
"180","like","DISTRESS","5.013608741510288"
"181","shark","DISTRESS","9.766932709038805"
"182","attack","DISTRESS","-2.0733264128232904"
"183","described","DISTRESS","0.23702481997281977"
"184","distressing","DISTRESS","9.838379840420297"
"185","victim","DISTRESS","5.200218274226553"
"186","okay","DISTRESS","1.8039252354651714"
"187","attacks","DISTRESS","-6.507925929425179"
"188","unexpected","DISTRESS","2.081021160668537"
"189","primal","DISTRESS","2.2950023493681804"
"190","...","DISTRESS","-4.750447398170536"
"191","really","DISTRESS","-1.125661112351251"
"192","frightening","DISTRESS","4.936246659480653"
"193","at","DISTRESS","2.2526119047368747"
"194","same","DISTRESS","-7.56650926016295"
"195","appreciate","DISTRESS","6.6816079972091424"
"196","how","DISTRESS","9.858672564466124"
"197","want","DISTRESS","-7.3653115495314685"
"198","protect","DISTRESS","-0.8831819868134967"
"199","natural","DISTRESS","-8.81046594853031"
"200","wildlife","DISTRESS","-0.7036783302614297"
"201","area","DISTRESS","8.528420707524536"
"202","tough","DISTRESS","-0.43007388385655865"
"203","call","DISTRESS","1.417336591839815"
"204","measures","DISTRESS","-3.354838288937105"
"205","take","DISTRESS","9.329792420803871"
"206","will","DISTRESS","-3.4335775757607054"
"207","never","DISTRESS","-11.91904840354262"
"208","perfect","DISTRESS","1.3747384947404784"
"209","guess","DISTRESS","-15.515514534620383"
"210","fence","DISTRESS","0.9718776562298462"
"211","what","DISTRESS","-6.67105491650603"
"212","they're","DISTRESS","-2.5382835254878566"
"213","doing","DISTRESS","9.686599025729048"
"214","sharks","DISTRESS","3.5502762732962196"
"215","wasn't","DISTRESS","1.9044181620509344"
"216","sure","DISTRESS","-11.344143305402637"
"217","story","DISTRESS","10.582989362642463"
"218","end","DISTRESS","12.327605150237236"
"219","emus","DISTRESS","0.5677928807289967"
"220","aggressive","DISTRESS","3.1535591873594906"
"221","!","DISTRESS","4.4656443589581"
"222","emu","DISTRESS","-4.633754098091831"
"223","docile","DISTRESS","0.5677928807289967"
"224","behaving","DISTRESS","0.12005319715400198"
"225","local","DISTRESS","6.763706927288341"
"226","officials","DISTRESS","1.7370046253312825"
"227","were","DISTRESS","1.1044745449281919"
"228","best","DISTRESS","-1.0423737603399492"
"229","excite","DISTRESS","0.5677928807289967"
"230","gratifying","DISTRESS","0.5677928807289967"
"231","actually","DISTRESS","-8.284363400398599"
"232","funny","DISTRESS","-1.1618659631830532"
"233","whole","DISTRESS","-1.3257494874942264"
"234","hope","DISTRESS","-1.8573171920095701"
"235","provides","DISTRESS","0.5677928807289967"
"236","model","DISTRESS","-3.653150728900768"
