"id","term","category","weight"
"1","this","DISTRESS","7.308040104853302"
"2","situation","DISTRESS","7.9763814265172925"
"3","i","DISTRESS","-3.79664040634499"
"4","read","DISTRESS","2.0280557615692323"
"5","about","DISTRESS","-4.5274849608649"
"6","concerning","DISTRESS","-2.054367707071343"
"7","refugees","DISTRESS","-5.756514033181924"
"8","fleeing","DISTRESS","4.574237994107033"
"9","to","DISTRESS","3.3968046171108854"
"10","mediterranean","DISTRESS","2.0818236409030635"
"11","countries","DISTRESS","5.981900960842355"
"12","such","DISTRESS","5.726058903360003"
"13","as","DISTRESS","-1.3555978876229364"
"14","greece","DISTRESS","1.4777785731637745"
"15","and","DISTRESS","3.826865373111986"
"16","italy","DISTRESS","1.9579280251245041"
"17","is","DISTRESS","2.469914160287686"
"18","sad","DISTRESS","8.405555679778747"
"19","concerns","DISTRESS","1.4694572923230085"
"20","me","DISTRESS","5.3559571589448005"
"21",".","DISTRESS","-6.037912938730561"
"22","clearly","DISTRESS","-14.136145734737237"
"23","the","DISTRESS","-3.2911384585074925"
"24","conditions","DISTRESS","5.137878237932871"
"25","in","DISTRESS","-3.4839823803021033"
"26","their","DISTRESS","-1.8804916045872129"
"27","native","DISTRESS","0.46627762166326214"
"28","have","DISTRESS","4.7262970521644085"
"29","gotten","DISTRESS","-0.20652972515172324"
"30","be","DISTRESS","-1.9594198863267955"
"31","so","DISTRESS","14.174392876887916"
"32","unbearable","DISTRESS","3.8400813198641015"
"33","that","DISTRESS","-0.3849948246500017"
"34","they","DISTRESS","0.23282483942467969"
"35","are","DISTRESS","0.8608428262136094"
"36","willing","DISTRESS","-1.919238089455519"
"37","risk","DISTRESS","-0.3591219838460824"
"38","own","DISTRESS","-9.036978080364177"
"39","families","DISTRESS","3.693953694187141"
"40","'","DISTRESS","3.664495134822635"
"41","lives","DISTRESS","10.735021887560041"
"42","try","DISTRESS","-0.7784628491809538"
"43","for","DISTRESS","-2.2478449532520597"
"44","a","DISTRESS","-1.384669267040172"
"45","different","DISTRESS","1.5965163806956337"
"46","life","DISTRESS","0.9294166471339502"
"47","another","DISTRESS","-4.5304932243425835"
"48","country","DISTRESS","-1.0496862907688629"
"49",",","DISTRESS","1.1511899899612652"
"50","with","DISTRESS","1.5010687193708576"
"51","no","DISTRESS","-14.020580523648686"
"52","guarantee","DISTRESS","-4.205574784626312"
"53","there","DISTRESS","-3.869032456262993"
"54","would","DISTRESS","-9.508864018774966"
"55","an","DISTRESS","-7.098019668248424"
"56","improvement","DISTRESS","0.3386251289695659"
"57","its","DISTRESS","-8.263991306678221"
"58","difficult","DISTRESS","-6.128162606734044"
"59","understand","DISTRESS","14.446337648760432"
"60","must","DISTRESS","2.503580025727556"
"61","terrible","DISTRESS","22.45869674053724"
"62","these","DISTRESS","7.952436063111327"
"63","due","DISTRESS","1.1082652357072031"
"64","horrendous","DISTRESS","0.21488578230513636"
"65","governance","DISTRESS","0.21488578230513636"
"66","which","DISTRESS","-0.3962329465455679"
"67","suppose","DISTRESS","-0.9212718889722282"
"68","something","DISTRESS","-2.504247956312179"
"69","typical","DISTRESS","0.47957565746902237"
"70","american","DISTRESS","-0.4484306057221076"
"71","picture","DISTRESS","-3.8809291423293657"
"72","i'm","DISTRESS","-12.779700624234088"
"73","glad","DISTRESS","7.220841856715365"
"74","we","DISTRESS","13.051583483869956"
"75","live","DISTRESS","-0.8548453525530169"
"76","where","DISTRESS","-19.58309326085764"
"77","relative","DISTRESS","2.319339494554213"
"78","freedoms","DISTRESS","0.21488578230513636"
"79","individual","DISTRESS","3.5351814217604556"
"80","his","DISTRESS","-0.8002036248252379"
"81","or","DISTRESS","0.18127211253305214"
"82","her","DISTRESS","-3.3330541186277864"
"83","family","DISTRESS","8.868097758913228"
"84","can","DISTRESS","-5.652174778927913"
"85","independently","DISTRESS","0.21488578230513636"
"86","get","DISTRESS","3.2228307116361563"
"87","needs","DISTRESS","21.22940921960072"
"88","met","DISTRESS","2.4315992026465554"
"89","wants","DISTRESS","1.4285180442427938"
"90","living","DISTRESS","8.050323213021818"
"91","fear","DISTRESS","6.68325934577646"
"92","way","DISTRESS","4.669051030020213"
"93","saddened","DISTRESS","6.32933013557135"
"94","hear","DISTRESS","-6.9413433064125005"
"95","news","DISTRESS","-0.6381897332209063"
"96","passing","DISTRESS","-2.9025636548949336"
"97","my","DISTRESS","-2.3484426683209185"
"98","experience","DISTRESS","-1.9999875289926818"
"99","believe","DISTRESS","1.9363056470005608"
"100","comedians","DISTRESS","-2.632511870799108"
"101","into","DISTRESS","12.645603154575992"
"102","field","DISTRESS","1.3978822116091545"
"103","aspect","DISTRESS","0.5565448115343631"
"104","of","DISTRESS","2.366906984566418"
"105","desire","DISTRESS","-0.6356616486068927"
"106","help","DISTRESS","17.921862673525908"
"107","people","DISTRESS","0.44879621849742146"
"108","give","DISTRESS","-3.391460942546396"
"109","them","DISTRESS","1.906243501825806"
"110","few","DISTRESS","-7.3733271950934824"
"111","laughs","DISTRESS","1.2926648769644584"
"112","don't","DISTRESS","-13.701778498317616"
"113","think","DISTRESS","-2.437995388663282"
"114","recall","DISTRESS","-0.7380915459202976"
"115","comedy","DISTRESS","1.2926648769644584"
"116","acts","DISTRESS","-7.354720472458993"
"117","but","DISTRESS","-9.632944057761737"
"118","reading","DISTRESS","-0.4397291095768028"
"119","through","DISTRESS","8.023871878736179"
"120","tributes","DISTRESS","1.2926648769644584"
"121","sense","DISTRESS","2.194785020662478"
"122","liked","DISTRESS","-2.146055644274153"
"123","him","DISTRESS","-1.029402624191691"
"124","alright","DISTRESS","1.2926648769644584"
"125","he","DISTRESS","-4.1100744303179475"
"126","was","DISTRESS","1.753212856746818"
"127","good","DISTRESS","-2.075540147100553"
"128","guy","DISTRESS","-3.9961051386010844"
"129","tagline","DISTRESS","1.2926648769644584"
"130","great","DISTRESS","-1.5439742052422325"
"131","-","DISTRESS","2.998354888555154"
"132","""","DISTRESS","5.61254239235647"
"133","that's","DISTRESS","-12.186910552493208"
"134","not","DISTRESS","0.3298183855531647"
"135","right","DISTRESS","-7.616631292077095"
