"id","term","category","weight"
"1","this","EMPATHY","-1.0501210460826527"
"2","situation","EMPATHY","16.134548382837632"
"3","i","EMPATHY","-0.700491604682699"
"4","read","EMPATHY","9.975067589617659"
"5","about","EMPATHY","-11.513268276358769"
"6","concerning","EMPATHY","0.5840322935533743"
"7","refugees","EMPATHY","-0.7742000275864738"
"8","fleeing","EMPATHY","6.031014031397104"
"9","to","EMPATHY","1.626721151976641"
"10","mediterranean","EMPATHY","4.698375746378406"
"11","countries","EMPATHY","-0.5340858863296915"
"12","such","EMPATHY","5.7907026616177495"
"13","as","EMPATHY","-1.4101339167957465"
"14","greece","EMPATHY","2.236460944232748"
"15","and","EMPATHY","1.3135667880518147"
"16","italy","EMPATHY","1.4489655342206798"
"17","is","EMPATHY","1.2333701548698972"
"18","sad","EMPATHY","15.488328515762301"
"19","concerns","EMPATHY","-2.436783801737322"
"20","me","EMPATHY","-6.848091312013265"
"21",".","EMPATHY","-0.9500478796379199"
"22","clearly","EMPATHY","-1.544193988061301"
"23","the","EMPATHY","-0.8675011811726048"
"24","conditions","EMPATHY","-1.6808329663349582"
"25","in","EMPATHY","2.513985861790942"
"26","their","EMPATHY","1.0350095791477072"
"27","native","EMPATHY","12.46512331803868"
"28","have","EMPATHY","1.1090409453842858"
"29","gotten","EMPATHY","-1.4980210357242278"
"30","be","EMPATHY","0.9176312687591206"
"31","so","EMPATHY","10.123606228455966"
"32","unbearable","EMPATHY","3.2250934900423642"
"33","that","EMPATHY","-2.483546804758446"
"34","they","EMPATHY","2.9112563991898224"
"35","are","EMPATHY","2.6906007745805787"
"36","willing","EMPATHY","-2.791600382556088"
"37","risk","EMPATHY","7.697872254535732"
"38","own","EMPATHY","-10.801396435817907"
"39","families","EMPATHY","7.8130750065505215"
"40","'","EMPATHY","7.45343520855219"
"41","lives","EMPATHY","14.39719751249403"
"42","try","EMPATHY","4.701165916672637"
"43","for","EMPATHY","-1.9320255631317185"
"44","a","EMPATHY","-1.9708571824203442"
"45","different","EMPATHY","2.7509089846546098"
