"id","term","category","weight"
"1","this","EMPATHY","-1.4086407921966753"
"2","situation","EMPATHY","13.687262947027078"
"3","i","EMPATHY","-2.323330992733289"
"4","read","EMPATHY","10.102724673039237"
"5","about","EMPATHY","-8.85520362433732"
"6","concerning","EMPATHY","0.10790655065837101"
"7","refugees","EMPATHY","-0.418682813867732"
"8","fleeing","EMPATHY","5.93984310803303"
"9","to","EMPATHY","1.8809270400431202"
"10","mediterranean","EMPATHY","4.603230646442678"
"11","countries","EMPATHY","-2.581747518987274"
"12","such","EMPATHY","8.67128498361044"
"13","as","EMPATHY","1.2817355447000371"
"14","greece","EMPATHY","2.1783049847868248"
"15","and","EMPATHY","3.7780447889314726"
"16","italy","EMPATHY","1.5198121695391058"
"17","is","EMPATHY","1.3611171201280503"
"18","sad","EMPATHY","16.39844096141829"
"19","concerns","EMPATHY","-3.413211835015778"
"20","me","EMPATHY","0.6485402350486771"
"21",".","EMPATHY","-0.54262014230037"
"22","clearly","EMPATHY","-0.21102199427606147"
"23","the","EMPATHY","-1.0116824481973987"
"24","conditions","EMPATHY","0.42512076290591083"
"25","in","EMPATHY","0.06905357980223625"
"26","their","EMPATHY","3.3136154827864477"
"27","native","EMPATHY","11.237086363468459"
"28","have","EMPATHY","2.9013179798408233"
"29","gotten","EMPATHY","0.4069396982858102"
"30","be","EMPATHY","3.279680799606334"
"31","so","EMPATHY","10.260691866872197"
"32","unbearable","EMPATHY","3.677100292523336"
"33","that","EMPATHY","-1.704354165347201"
"34","they","EMPATHY","1.4008520322245577"
"35","are","EMPATHY","3.1140932232771124"
"36","willing","EMPATHY","-3.304770739494082"
"37","risk","EMPATHY","5.8937924663697085"
"38","own","EMPATHY","-3.7732101426170668"
"39","families","EMPATHY","7.31651625828848"
"40","'","EMPATHY","5.47233917206944"
"41","lives","EMPATHY","15.37090053015156"
"42","try","EMPATHY","9.275451229412177"
"43","for","EMPATHY","-6.276677189046535"
"44","a","EMPATHY","-1.4655902145892346"
"45","different","EMPATHY","-0.8733057335481456"
"46","life","EMPATHY","7.322625021008136"
"47","another","EMPATHY","-12.74770900555303"
"48","country","EMPATHY","-3.8876103442806524"
"49",",","EMPATHY","1.5672099712705578"
"50","with","EMPATHY","4.539173110583707"
"51","no","EMPATHY","-9.430345863828954"
"52","guarantee","EMPATHY","-3.320127554935743"
"53","there","EMPATHY","-9.635307724374192"
"54","would","EMPATHY","-7.759678817255814"
"55","an","EMPATHY","-2.0505425011068015"
"56","improvement","EMPATHY","-0.37059942809761753"
"57","its","EMPATHY","-10.819626534900689"
"58","difficult","EMPATHY","5.514976276435832"
"59","understand","EMPATHY","12.249061843870395"
"60","must","EMPATHY","0.9261405531293178"
"61","terrible","EMPATHY","13.993867075633771"
"62","these","EMPATHY","8.759444004401837"
"63","due","EMPATHY","0.2419148547714493"
"64","horrendous","EMPATHY","-0.09194844334346199"
"65","governance","EMPATHY","-0.09194844334346199"
"66","which","EMPATHY","-2.9966703201798373"
"67","suppose","EMPATHY","1.1289749817217998"
"68","something","EMPATHY","-6.515145791603812"
"69","typical","EMPATHY","2.070983585167183"
"70","american","EMPATHY","0.5896273874002249"
"71","picture","EMPATHY","-0.6553966446161686"
"72","i'm","EMPATHY","-11.699438865813791"
"73","glad","EMPATHY","-4.612614307185168"
"74","we","EMPATHY","7.9440671395044244"
"75","live","EMPATHY","10.77588407545677"
"76","where","EMPATHY","-6.396483282358064"
"77","relative","EMPATHY","0.8719582513167177"
"78","freedoms","EMPATHY","-2.041804277212001"
"79","individual","EMPATHY","-2.41262634383574"
"80","his","EMPATHY","4.440146703289601"
"81","or","EMPATHY","6.336354133763979"
"82","her","EMPATHY","8.70947139865675"
"83","family","EMPATHY","25.696597676840348"
"84","can","EMPATHY","-5.919551744095398"
"85","independently","EMPATHY","-0.09194844334346199"
"86","get","EMPATHY","9.262587812496244"
"87","needs","EMPATHY","13.08053266058784"
"88","met","EMPATHY","-1.5352867753204187"
"89","wants","EMPATHY","-5.951432544453854"
"90","living","EMPATHY","-0.2695166997804282"
"91","fear","EMPATHY","-1.8694981397560255"
"92","way","EMPATHY","3.847017326849881"
"93","saddened","EMPATHY","3.396848959544201"
"94","hear","EMPATHY","2.6456040459371577"
"95","news","EMPATHY","4.1697899412860115"
"96","passing","EMPATHY","-1.0136302950418086"
"97","my","EMPATHY","5.5436035379089805"
"98","experience","EMPATHY","1.5111294126697348"
"99","believe","EMPATHY","-11.15043919992201"
"100","comedians","EMPATHY","-2.458083870710807"
"101","into","EMPATHY","8.022567588075905"
"102","field","EMPATHY","2.5968221194522765"
"103","aspect","EMPATHY","-0.048504733941821275"
"104","of","EMPATHY","0.3762549798746171"
"105","desire","EMPATHY","2.0186255895962537"
"106","help","EMPATHY","13.501444040689705"
"107","people","EMPATHY","-2.4519490704397455"
"108","give","EMPATHY","4.407693191950463"
"109","them","EMPATHY","-4.080398110592125"
"110","few","EMPATHY","7.057998036237356"
"111","laughs","EMPATHY","1.1469359199479896"
"112","don't","EMPATHY","-25.27053328793402"
"113","think","EMPATHY","-0.17043664908661094"
"114","recall","EMPATHY","0.7133244825902857"
"115","comedy","EMPATHY","1.1469359199479896"
"116","acts","EMPATHY","-11.874536353831047"
"117","but","EMPATHY","-11.608886022113213"
"118","reading","EMPATHY","-0.07511557297864004"
"119","through","EMPATHY","15.558421812018004"
"120","tributes","EMPATHY","1.1469359199479896"
"121","sense","EMPATHY","8.839156245654266"
"122","liked","EMPATHY","-4.102658180273095"
"123","him","EMPATHY","-3.563104112448282"
"124","alright","EMPATHY","1.1469359199479896"
"125","he","EMPATHY","-2.899236651619967"
"126","was","EMPATHY","2.2405516825297918"
"127","good","EMPATHY","6.165624792326636"
"128","guy","EMPATHY","-9.256257755328969"
"129","tagline","EMPATHY","1.1469359199479896"
"130","great","EMPATHY","8.622848254141564"
"131","-","EMPATHY","3.197813227331436"
"132","""","EMPATHY","1.6205566698532567"
"133","that's","EMPATHY","-5.452713372133775"
"134","not","EMPATHY","-3.591811872092788"
"135","right","EMPATHY","-1.0016994247951765"
"136","if","EMPATHY","0.10913603721383247"
"137","internalized","EMPATHY","1.1469359199479896"
"138","solid","EMPATHY","0.347565414541581"
"139","wrong","EMPATHY","7.950917214260565"
"140","didn't","EMPATHY","-7.125172858704272"
"141","know","EMPATHY","5.911103201757232"
"142","work","EMPATHY","7.823809623941475"
"143","like","EMPATHY","0.22130537458056032"
"144","shark","EMPATHY","2.7580951108776395"
"145","attack","EMPATHY","-3.4283223328187384"
"146","described","EMPATHY","-0.1742592763234677"
"147","distressing","EMPATHY","3.7184036013611834"
"148","victim","EMPATHY","2.961776418294842"
"149","okay","EMPATHY","3.8001894768348974"
"150","attacks","EMPATHY","-2.4680733842241787"
"151","seems","EMPATHY","-12.922422596150563"
"152","unexpected","EMPATHY","-4.8487249743346625"
"153","primal","EMPATHY","2.094859309256276"
"154","...","EMPATHY","-1.4005198532973553"
"155","really","EMPATHY","8.486459636838896"
"156","frightening","EMPATHY","-1.1929764977327482"
"157","at","EMPATHY","3.661540087619246"
"158","same","EMPATHY","-1.9248981192775545"
"159","time","EMPATHY","-6.725634650214801"
"160","appreciate","EMPATHY","6.598094684332611"
"161","how","EMPATHY","7.086808926394745"
"162","want","EMPATHY","-0.3199979248150644"
"163","protect","EMPATHY","9.754763522574567"
"164","natural","EMPATHY","10.556562090213141"
"165","wildlife","EMPATHY","6.882205603572798"
"166","area","EMPATHY","13.287471952522464"
"167","tough","EMPATHY","1.9983209048172554"
"168","call","EMPATHY","3.3695307426664916"
"169","measures","EMPATHY","-7.4114005899047335"
"170","take","EMPATHY","-9.563944085542136"
"171","will","EMPATHY","-1.7643263274478538"
"172","never","EMPATHY","-3.9976522364594493"
"173","perfect","EMPATHY","2.0512227539804373"
"174","guess","EMPATHY","-19.12658696664856"
"175","on","EMPATHY","3.8665164895821063"
"176","fence","EMPATHY","-3.186741712058505"
"177","what","EMPATHY","-4.921775869650495"
"178","they're","EMPATHY","-2.9894213270074785"
"179","doing","EMPATHY","-10.152302476141415"
"180","sharks","EMPATHY","3.308586338703369"
"181","just","EMPATHY","3.307491558621979"
"182","elephants","EMPATHY","14.128004347011805"
"183","being","EMPATHY","4.672231001298771"
"184","killed","EMPATHY","12.421753696931123"
"185","ivory","EMPATHY","6.73869853948016"
"186","it","EMPATHY","-2.4608684540484704"
"187","thing","EMPATHY","-7.60708502587141"
"188","can't","EMPATHY","2.169116899210469"
"189","protected","EMPATHY","5.1553415178431985"
"190","by","EMPATHY","-4.478921298654255"
"191","all","EMPATHY","-0.91647771484205"
"192","nations","EMPATHY","4.126171646366574"
"193","should","EMPATHY","-1.6836089882896106"
"194","do","EMPATHY","9.453970819721524"
"195","more","EMPATHY","8.769881138924086"
"196","maybe","EMPATHY","-4.716780289514728"
"197","some","EMPATHY","3.226091518067199"
"198","research","EMPATHY","-0.037151212276757065"
"199","see","EMPATHY","6.832052195985751"
"200","sure","EMPATHY","-1.5685872886858"
"201","hate","EMPATHY","0.9941346116026053"
"202","disappear","EMPATHY","-6.75318615085706"
"203","things","EMPATHY","-12.74563491455918"
"204","going","EMPATHY","-4.44411036163334"
"205","now","EMPATHY","-0.06657935869489442"
"206","shame","EMPATHY","-3.3148877181640417"
"207","lose","EMPATHY","14.298163287533525"
"208","beautiful","EMPATHY","-3.0657270371121688"
"209","animals","EMPATHY","17.76550583007367"
"210","because","EMPATHY","3.1403756400783953"
"211","article","EMPATHY","-1.9724788885655713"
"212","black","EMPATHY","-1.6175867939407944"
"213","crazy","EMPATHY","0.4080213748864738"
"214","still","EMPATHY","-1.5657869141498744"
"215","targeted","EMPATHY","-2.1169594344316742"
"216","police","EMPATHY","1.7905298800893077"
"217","you","EMPATHY","8.109068573077245"
"218","day","EMPATHY","1.5672566498438727"
"219","age","EMPATHY","-1.754381470875232"
"220","difference","EMPATHY","-5.130508538524091"
"221","between","EMPATHY","-5.009269798289652"
"222","why","EMPATHY","4.869850239751839"
"223","shot","EMPATHY","-1.53019272785025"
"224","crimes","EMPATHY","-6.324500432005864"
"225","add","EMPATHY","-4.822281928782991"
"226","fact","EMPATHY","9.197773107353665"
"227","tell","EMPATHY","-2.5082743477149534"
"228","kids","EMPATHY","1.5597551733719661"
"229","trust","EMPATHY","3.3051135700961307"
"230","run","EMPATHY","-6.519921269628211"
"231","fight","EMPATHY","6.134613128856412"
"232","back","EMPATHY","-5.608578367101356"
"233","officer","EMPATHY","3.6838203039660753"
"234","says","EMPATHY","9.045119107986743"
"235","lot","EMPATHY","-12.253431769147745"
"236","chance","EMPATHY","5.279809305381596"
"237","getting","EMPATHY","0.4692049685279056"
"238","stand","EMPATHY","-5.706933296476747"
"239","who","EMPATHY","-2.5895011096107248"
"240","feel","EMPATHY","11.76210209307706"
"241","bad","EMPATHY","-18.45489095511482"
"242","here","EMPATHY","-8.23773805615312"
"243","let","EMPATHY","-1.8522551009228554"
"244","africa","EMPATHY","6.71630506748836"
"245","did","EMPATHY","3.630786529323415"
"246","australian","EMPATHY","2.533847212040654"
"247","hiker","EMPATHY","0.34361710819395214"
"248","found","EMPATHY","-14.378282306214986"
"249","after","EMPATHY","20.12342146626781"
"250","2","EMPATHY","2.0650972221951878"
"251","weeks","EMPATHY","6.457373100305906"
"252","malaysian","EMPATHY","1.4754130483048584"
"253","jungle","EMPATHY","-0.09495366725157603"
"254","only","EMPATHY","7.783909265482695"
"255","had","EMPATHY","-7.08623930568374"
"256","one","EMPATHY","6.809397984981996"
"257","food","EMPATHY","10.442110032523805"
"258","lived","EMPATHY","-1.5519376167008745"
"259","berries","EMPATHY","1.4754130483048584"
"260","stuff","EMPATHY","7.520941525087537"
"261","could","EMPATHY","-7.113170747399046"
"262","survive","EMPATHY","-3.514358880591521"
"263","woods","EMPATHY","2.6072089884157643"
"264","plants","EMPATHY","3.6653808290170815"
"265","pretty","EMPATHY","-7.167076472624839"
"266","course","EMPATHY","-4.78498229501652"
"267","long","EMPATHY","-10.292243835770606"
"268","wasn't","EMPATHY","1.3289971164841525"
"269","place","EMPATHY","-6.36051608707507"
"270","cold","EMPATHY","1.6216018894096031"
"271","hard","EMPATHY","2.241726513604368"
"272","wild","EMPATHY","-2.99556069486132"
"273","eat","EMPATHY","7.094109549228804"
"274","least","EMPATHY","5.765737162337656"
"275","weather","EMPATHY","1.4567946952873045"
"276","better","EMPATHY","1.723211662020197"
"277","many","EMPATHY","-1.3971719551266002"
"278","trump","EMPATHY","-11.571189574916824"
"279","ruin","EMPATHY","-0.6585464074066892"
"280","fair","EMPATHY","-1.0164258840217757"
"281","say","EMPATHY","-4.182031124171779"
"282","our","EMPATHY","5.696135529353193"
"283","most","EMPATHY","-10.613640864769279"
"284","beloved","EMPATHY","-3.07237179802435"
"285","presidents","EMPATHY","-1.5819850974917051"
