"id","term","category","weight"
"1","remember","V","0.404900555723898"
"2","what","V","0.20413790950503125"
"3","she","V","0.43737251888655193"
"4","said","V","-0.17846035959285705"
"5","in","V","0.1534629565144635"
"6","my","V","0.3370851389296941"
"7","last","V","-0.0657283918906049"
"8","letter","V","-0.19256787247775892"
"9","?","V","-0.06531962246488687"
"10","""","V","0.11249231017777192"
"11","if","V","-0.5576992430624877"
"12","i","V","0.1694180016401501"
"13","wasn't","V","-0.3127823558573442"
"14","working","V","0.12359010496667053"
"15","here","V","0.24775996300698738"
"16",".","V","0.2623528070867129"
"17","..","V","0.2700216677312658"
"18","goodwill","V","1.7341061167138743"
"19","helps","V","1.847110616697031"
"20","people","V","0.18118075241658788"
"21","get","V","-0.1171236553110395"
"22","off","V","-0.8379723310885948"
"23","of","V","0.09539266784268885"
"24","public","V","-0.8001640927486003"
"25","assistance","V","1.7981444624204919"
"26","sherry","V","1.0034557703190141"
"27","learned","V","2.099042104589088"
"28","through","V","0.23890445059014864"
"29","our","V","1.179817991964984"
"30","future","V","1.568809871900368"
"31","works","V","1.1068527706395324"
"32","class","V","-0.08666552367500104"
"33","that","V","0.0035821721773966475"
"34","could","V","-0.3940776663844207"
"35","rise","V","0.41708798671521724"
"36","out","V","-0.7962876171158224"
"37","the","V","0.2874464095586212"
"38","mire","V","1.0034557703190141"
"39","welfare","V","-0.1887387399235481"
"40","system","V","0.4318538064934339"
"41","and","V","0.5482063275030751"
"42","support","V","0.08675663300878868"
"43","her","V","0.31712501362948003"
"44","family","V","0.5207734084573333"
"45","coming","V","0.848922203678648"
"46","to","V","0.15946534494944783"
"47","was","V","-0.4478069029025622"
"48","first","V","0.18832127538064083"
"49","step","V","0.4406592769923795"
"50","toward","V","0.12315499425188244"
"51","becoming","V","0.5563241636681564"
"52","totally","V","0.843249901463808"
"53","independent","V","-0.2541339468389496"
"54","am","V","-0.3310785927221212"
"55","now","V","-0.31453736784257497"
"56","...","V","-0.3207485339374123"
"57","prepares","V","-0.8786553281032908"
"58","for","V","0.36594238304912485"
"59","life-long","V","-0.8786553281032908"
"60","employment","V","1.249971488656789"
"61","here's","V","0.25969817100885007"
"62","another","V","0.4137569556179489"
"63","story","V","0.056650256581324644"
"64","success","V","3.7816075348187725"
"65","from","V","-0.2057926163627109"
"66","might","V","-0.21058072013381618"
"67","seem","V","0.4239168044530128"
"68","like","V","0.10647479575481279"
"69","an","V","0.5472904834414447"
"70","unlikely","V","-2.1684683658023003"
"71","source","V","1.6094797386165858"
"72",":","V","0.18423364610654486"
"73","goodwill's","V","1.4323896893515542"
"74","controller","V","0.03321838194695551"
"75",",","V","0.22943852484156624"
"76","juli","V","0.03321838194695551"
"77","cornell","V","0.8757421663430539"
"78","found","V","1.7480674456178094"
"79","a","V","0.25229321678168815"
"80","number","V","-0.663132601443285"
"81","options","V","0.21696980660750434"
"82","he","V","0.25232464934773513"
"83","never","V","-1.4850137159107657"
"84","dreamed","V","0.8757421663430539"
"85","existed","V","-0.06298945116829793"
"86","after","V","-0.5099738787923631"
"87","work-site","V","0.8757421663430539"
"88","injury","V","0.7157686975997839"
"89","forced","V","-2.1290411003197227"
"90","him","V","-0.07437327772713684"
"91","his","V","-0.053478669234412586"
"92","job","V","0.5096659894060789"
"93","at","V","0.3089717456826713"
"94","foundry","V","0.8757421663430539"
"95","trained","V","-0.1017539393056346"
"96","desktop","V","0.7803306182482685"
