	tokens	ratings
0	sheet	2.8860035
1	cats	3.1754844
2	hemming	2.9194124
3	definitive	2.990143
4	referendum	2.9165192
5	stamps	3.1384
6	most	3.1153824
7	since	2.9007816
8	also	2.9851267
9	bank	2.9028482
10	taxis	2.9719324
11	treaty	2.9133317
12	job	3.0796359
13	stalk	3.2625725
14	saga	3.2130973
15	dogsled	2.9537244
16	principal	2.8937023
17	ensured	3.012679
18	democracy	3.0596862
19	efficacy	2.9499733
20	factories	2.9916975
21	waiting	3.2503343
22	closely	2.914759
23	1960s	2.8889804
24	emphasizes	2.9376147
25	uh	3.282865
26	times	3.0349607
27	algorithm	2.8860967
28	steal	3.315923
29	paperwork	2.901994
30	woman	3.2608283
31	dropping	3.360311
32	weren	3.1761427
33	three	2.9984593
34	chvez	2.9843147
35	driver	2.987484
36	cci	2.889892
37	only	2.9433122
38	particular	2.8978846
39	ecosystems	2.949164
40	mechanics	2.9398746
41	recent	2.971443
42	anwar	3.1529927
43	medicine	2.9885788
44	host	3.0661802
45	toyoo	2.9843147
46	recognizable	2.9234364
47	treasures	3.3510184
48	barrier	3.2023597
49	built	2.9872756
50	raggedy	3.0265346
51	red	3.0874193
52	rescues	3.3449466
53	nathan	3.0615392
54	higher	3.0423124
55	saw	3.3198938
56	instruction	2.8892636
57	singapore	2.917258
58	reclusive	2.959094
59	partaking	3.0857587
60	could	3.0425804
61	curable	3.064923
62	change	2.9309778
63	glad	3.505371
64	providing	3.1161575
65	moves	3.118078
66	used	2.9189672
67	equitable	2.991304
68	say	3.2934556
69	nep	2.8831158
70	comparison	2.9092593
71	2002	2.8850586
72	weapons	3.333063
73	asia	2.9299002
74	shouted	4.3269286
75	got	3.42637
76	unheard	3.3044612
77	artists	3.0557654
78	serves	2.9836152
79	wives	3.058616
80	narration	2.90874
81	muslims	3.1418788
82	lines	2.9169018
83	denver	2.9096966
84	increased	3.2945194
85	beat	3.5363843
86	13	2.8910823
87	264	2.8908718
88	cops	3.6417274
89	month	3.133413
90	eagles	3.122906
91	microsoft	2.9763114
92	cookery	2.8987358
93	child	3.2139683
94	subdivision	2.881803
95	produces	3.0535493
96	available	2.9487648
97	explosion	3.7023315
98	started	3.2809954
99	listen	3.2277546
100	root	3.121728
101	inconvenient	2.9868832
102	look	3.165934
103	happening	3.4413633
104	hospital	2.9336593
105	customers	3.0830085
106	contributed	3.0735712
107	special	3.1989427
108	marmi	2.8887637
109	♯	2.89562
110	limit	2.9822829
111	1800s	2.89531
112	middle	2.978876
113	fraudulent	3.0667834
114	autos	2.9389715
115	auction	3.012656
116	federation	2.9285653
117	called	3.089039
118	voluntary	2.9062078
119	nurtured	3.2168338
120	homes	3.0746195
121	opposition	3.104478
122	presents	3.05118
123	movement	2.9487553
124	internalizing	3.2417943
125	invites	3.2031887
126	ignored	2.9456618
127	perhaps	2.903504
128	eligible	2.9824162
129	55	2.9544103
130	thematically	2.9211984
131	liffey	2.936795
132	communities	3.0220103
133	woozy	3.0848706
134	sentence	3.10506
135	direction	2.8890874
136	involves	2.9743023
137	landa	2.942805
138	staying	3.0128736
139	badly	3.108178
140	associated	2.904098
141	habitats	2.9019709
142	active	2.9672945
143	book	3.2178485
144	similar	2.9113002
145	34	2.9086874
146	famous	3.0821016
147	briefed	2.9107754
148	enable	2.9970713
149	bay	2.9408913
150	shirt	3.2848942
151	mall	2.950715
152	mo	2.9383953
153	head	3.0728993
154	rick	2.944258
155	questioning	3.0304337
156	skeleton	3.1194856
157	residence	2.8827603
158	brand	2.9922352
159	freshly	3.1921682
160	9	2.9251142
161	exhilarating	4.0928535
162	fledged	3.071982
163	thursday	2.9561965
164	6	2.9029977
165	chapter	3.018312
166	america	3.0364203
167	shocked	3.7848444
168	portion	2.9001467
169	hit	3.5560308
170	helps	3.0597544
171	departures	2.8827465
172	station	2.896053
173	working	2.9920518
174	departs	2.8915694
175	tgi	2.903
176	content	2.9211164
177	point	2.9743457
178	same	2.986133
179	your	3.3800702
180	monozygotic	2.9414577
181	elements	2.9557123
182	travels	2.9893827
183	generous	3.197375
184	off	3.3115392
185	humpty	3.2378995
186	walled	3.0752
187	sep	2.887781
188	1977	2.8889742
189	yellow	2.991208
190	destroyed	3.4497826
191	distinguish	2.8987014
192	folk	2.961052
193	zombie	3.3441968
194	stationary	2.8923762
195	dexterity	3.2137513
196	dancers	3.225348
197	money	3.1803932
198	successful	3.0800052
199	agri	2.9054961
200	reine	2.900868
201	award	3.0614886
202	banger	3.404883
203	grotto	2.8940513
204	jetfoils	2.9843147
205	courts	2.9572504
206	1979	2.8897054
207	fully	3.0525672
208	evading	3.040142
209	lovers	3.5477724
210	fabulous	3.861731
211	shooting	3.249887
212	defence	3.027864
213	restore	2.9787803
214	climate	2.9017615
215	windsurfing	3.1637526
216	pragmatic	2.904773
217	planning	2.955358
218	ron	2.9356422
219	rwanda	3.002804
220	congressional	2.9211948
221	usefulness	2.9320307
222	helm	3.0169976
223	ah	3.2315464
224	bottles	3.1427324
225	ridden	3.0639267
226	become	3.1328886
227	track	2.98888
228	warehouses	2.9232016
229	ownership	2.91011
230	palestinian	3.0970244
231	goals	2.9979315
232	1998	2.8859718
233	hardly	3.0073035
234	division	2.9102318
235	deductible	2.9194982
236	body	3.1589432
237	colorlessness	2.8876882
238	membership	2.9263465
239	hundred	3.1200392
240	building	3.0969648
241	foot	3.04411
242	took	3.081215
243	([	2.9843147
244	travel	2.9729383
245	strongly	3.127053
246	night	3.2782433
247	plunged	3.5428276
248	presented	2.8985903
249	average	2.9854212
250	loans	2.947793
251	cleansing	3.1644719
252	southern	2.9365084
253	baby	3.390198
254	support	3.2107468
255	assistant	2.925209
256	973	2.8988922
257	symbol	3.0945683
258	popularity	3.216712
259	mozart	2.8955092
260	ash	2.9657834
261	kingdoms	3.0112808
262	1990s	2.9084074
263	fail	3.0565073
264	purposing	2.9016876
265	dublin	2.9052427
266	nodded	2.9542704
267	concern	2.9161513
268	identical	2.9173965
269	peak	3.0507286
270	sentenced	3.1181095
271	pulled	3.4103131
272	sites	2.92305
273	obligation	2.9814367
274	4dtv	2.9843147
275	illusions	3.0751753
276	steadily	3.230501
277	opponents	3.228881
278	twitch	3.193687
279	houses	2.9875348
280	deckhands	2.952866
281	skating	3.0853179
282	gold	3.0961165
283	ray	3.0207808
284	relevant	2.907353
285	vary	2.8867528
286	didn	3.1524935
287	then	2.9977493
288	blocking	3.1038582
289	soft	3.0426776
290	paris	2.9391444
291	tasks	2.8857799
292	partner	3.3125186
293	different	2.9200509
294	ts	2.9391477
295	memorial	2.886522
296	swimming	3.097532
297	registration	2.8913624
298	free	3.2603238
299	500	3.1241794
300	customs	2.8857872
301	exceptions	2.8922868
302	/	2.887663
303	this	3.0519102
304	traverse	2.914559
305	influence	2.9454508
306	west	2.911413
307	bad	3.1130838
308	displays	2.9792101
309	deserve	3.6331625
310	dianto	2.9843147
311	election	2.9217784
312	distance	2.9342024
313	?’	2.9843147
314	critics	3.1854506
315	lot	3.168572
316	profit	3.0769892
317	serpant	3.2673402
318	launches	3.4009657
319	corruptly	3.0763154
320	molina	2.9312787
321	paper	2.8835552
322	decker	2.8938243
323	tube	2.9870198
324	cairo	2.9146912
325	reserves	2.9402351
326	warren	2.9031029
327	color	2.9432719
328	choice	3.0335653
329	leadership	2.975736
330	guerrillas	3.0404167
331	motive	3.007068
332	dropped	3.2486923
333	broken	3.045676
334	commerce	2.8948345
335	pass	2.9876912
336	edge	3.156242
337	virtually	3.3744628
338	hers	3.0893877
339	react	3.3226252
340	behavior	2.910143
341	bridges	2.995507
342	forms	2.9002116
343	magic	3.3867435
344	assert	3.0715437
345	lowest	3.133495
346	found	2.993434
347	cashmere	2.931608
348	shades	2.974663
349	unreasonable	3.091988
350	information	2.9477112
351	ants	3.0305436
352	cooperation	3.0377433
353	these	3.090494
354	passion	3.781839
355	tried	2.9811084
356	cover	3.121856
357	readers	3.3260975
358	responsible	3.0848835
359	11	2.9141967
