	tokens	ratings
0	fluted	3.050337
1	danger	2.9749846
2	55	2.9943733
3	speaking	3.0122123
4	photo	3.0591028
5	80s	2.991716
6	parboiled	2.9762938
7	workforce	3.0543106
8	phosphorous	2.9867814
9	pakistan	3.0084841
10	stg	3.0232186
11	ray	2.9979703
12	condemned	2.9750137
13	soda	3.029813
14	inferiority	2.9792004
15	murmuring	2.974335
16	harmed	2.9756932
17	enjoying	3.1540048
18	modeler	3.088103
19	mps	3.0383782
20	san	3.0700667
21	toasty	3.1389966
22	journey	3.0525506
23	microsoft	3.074015
24	books	3.0730288
25	nothing	3.0154543
26	substance	3.012507
27	occasionally	2.9817226
28	older	3.0001562
29	sat	2.974436
30	fertilization	3.0655794
31	prehistoric	3.0614882
32	cubes	3.0741253
33	attached	2.9926267
34	additional	3.0845068
35	follies	3.0008767
36	philsophy	3.043212
37	preservationists	3.1196856
38	include	3.0673652
39	geezers	3.0380821
40	125	3.0475075
41	worrying	2.9744725
42	wendover	3.0662212
43	alter	3.0733602
44	guests	3.115209
45	flushed	2.9763162
46	unless	3.041643
47	wildlife	3.1481006
48	praised	3.1044075
49	cutcliffe	3.076268
50	comments	3.0303032
51	deceive	3.0362723
52	compact	3.0982423
53	thorough	3.0895824
54	0830	2.977019
55	9302	3.0456216
56	socially	3.0524485
57	strain	2.9838183
58	renewing	3.074372
59	data	3.056891
60	nevada	3.0593154
61	oliver	3.0476294
62	crews	3.0414724
63	wednesday	3.0160372
64	film	3.0729299
65	socialite	2.984598
66	predominance	3.0237038
67	coast	2.998025
68	sharp	2.986597
69	.	3.0632226
70	83	2.9886854
71	bonnets	3.0239115
72	queer	3.0426898
73	equivalent	3.058419
74	aspect	3.082103
75	enthralling	3.1092093
76	protectionist	2.995243
77	approved	3.0742793
78	bakery	3.0180929
79	barred	2.9761314
80	weren	2.9759927
81	double	3.0872135
82	forged	3.0030046
83	period	2.9869573
84	venetian	3.0471418
85	obscenity	3.0322452
86	sequestering	2.984726
87	may	2.9934855
88	lingers	2.973777
89	voiced	2.9827268
90	orion	3.0383966
91	anew	2.9964228
92	caliche	2.9893646
93	trademark	3.0937512
94	aico	3.0253832
95	instills	3.1520946
96	pot	3.0523357
97	inquiry	2.9998584
98	ribeiro	3.0534
99	generosity	3.068062
100	crosses	2.9846
101	".."""	3.076268
102	rockford	3.0712
103	joint	3.0678718
104	aha	3.0607553
105	acknowledges	3.0807128
106	uplands	2.982778
107	batted	2.9774923
108	failure	2.975417
109	russell	3.044732
110	exodus	2.9737802
111	sunset	3.02491
112	snake	3.0039244
113	flowing	3.0121236
114	experimenters	3.0678668
115	route	3.0071611
116	reduce	3.1009521
117	confronted	2.9741278
118	partly	2.975436
119	confident	3.165694
120	mud	2.982574
121	sum	3.081058
122	padraic	3.0687506
123	cart	3.054448
124	rise	2.986174
125	scruffy	2.9842615
126	fertility	3.0334995
127	taijiquan	3.035942
128	fm	3.0566702
129	vacant	2.9741666
130	incensed	2.9764185
131	expect	3.0857193
132	tray	3.0529332
133	kept	2.9829972
134	annoying	2.9842322
135	montreal	3.0228612
136	referred	2.9979029
137	learn	3.118932
138	holding	3.008304
139	toward	3.0215738
140	dried	2.9804728
141	bumped	2.975109
142	damages	2.9815035
143	sanctuaries	3.080703
144	congressman	3.0556715
145	housing	3.0362794
146	productivity	3.0818515
147	canyon	2.9799078
148	opposing	3.0187519
149	colin	3.0410984
150	sharecroppers	2.9784968
151	alone	2.9828348
152	manager	3.076422
153	3360	3.0442142
154	71	2.9910777
155	reign	2.9958665
156	employs	3.0875967
157	justified	2.984687
158	katrina	3.0112298
159	qualities	3.0983884
160	staid	2.9872978
161	maturity	3.072337
162	scan	3.0545712
163	approvingly	3.0189147
164	so	3.0306995
165	rick	3.0391805
166	noted	2.995247
167	die	2.975317
168	seem	2.9818487
169	renovating	3.0514395
170	potential	3.0623116
171	jack	3.051303
172	tuning	3.1057985
173	eco	3.1626868
174	argue	3.0492766
175	634	3.0025373
176	boots	3.010676
177	accidental	2.9818525
178	unkempt	2.9743898
179	deceptive	2.9916384
180	tackling	3.0440414
181	exercise	3.1052072
182	pink	3.028852
183	patroller	3.002844
184	slammed	2.9750366
185	landmark	3.0900645
186	feeding	3.0333204
187	cars	3.0052736
188	sleeve	3.060654
189	township	3.011364
190	deal	3.0304925
191	transformation	3.0524614
192	termination	2.9855008
193	diversity	3.132863
194	coal	2.9771528
195	bono	3.071829
196	uplifted	3.0407345
197	fantasized	2.9766617
198	cesareans	3.0044243
199	undergone	2.976235
200	bun	3.0024061
201	corrupting	2.9961624
202	809	3.0240088
203	strategic	3.1149352
204	present	3.0372283
205	nineteen	2.9768987
206	calculations	2.991653
207	pig	3.0861294
208	bassoons	3.031137
209	halibut	3.0564759
210	fashioned	3.0800543
211	male	3.0246506
212	humanica	3.076268
213	ingrained	2.9875958
214	lodged	2.9747775
215	phrase	3.036365
216	mart	3.0655012
217	success	3.129188
218	taylor	3.056563
219	contrasting	3.060157
