	tokens	ratings
0	guilders	3.1178143
1	sheet	3.0005772
2	prepares	3.3408198
3	intervening	2.6400723
4	pricey	3.0106206
5	stamps	3.5798407
6	since	2.8289955
7	most	2.8529015
8	prizes	4.2802076
9	also	3.5326624
10	joey	3.1279447
11	bank	3.0466235
12	adopting	3.1464496
13	exclusively	2.9714732
14	89	3.021471
15	trusted	2.997802
16	job	2.9584973
17	endorsed	3.122918
18	sammy	3.1012592
19	democracy	2.8357015
20	foraging	3.1305244
21	folks	3.209532
22	partially	2.6411946
23	waiting	3.2019188
24	closely	3.040615
25	times	3.1004496
26	um	3.186152
27	algorithm	3.0230184
28	subsided	2.6400723
29	judgment	2.640718
30	hungarian	3.1223445
31	unnecessarily	2.6400723
32	woman	3.0583768
33	mediocrity	2.6400723
34	acceptance	3.7844715
35	racing	3.1542134
36	three	3.0941987
37	driver	2.980932
38	only	2.696521
39	ecosystems	3.226056
40	particular	3.028225
41	recent	3.0829453
42	butter	3.1477284
43	medicine	3.0709484
44	host	3.8894486
45	carry	2.957592
46	built	3.2510269
47	raggedy	2.6400723
48	red	3.0201764
49	higher	3.0440743
50	nathan	3.0452178
51	saw	3.1523385
52	could	2.869839
53	change	3.017392
54	bylichkas	3.070415
55	glad	4.525751
56	providing	3.9631605
57	moves	3.039592
58	used	2.8479564
59	evidenced	3.0505793
60	si	3.1160946
61	doesn	2.6400723
62	say	2.7305796
63	comparison	2.7957056
64	2002	3.060785
65	ibrahim	2.653241
66	labels	2.920384
67	weapons	2.6400723
68	lane	3.1037626
69	asia	3.0113168
70	shouted	2.6400723
71	got	3.2831898
72	participation	3.523038
73	understated	3.3447762
74	approach	3.1404667
75	lines	3.022705
76	distinct	3.0467863
77	gained	3.667459
78	rhythmic	3.1837115
79	13	2.9225903
80	bryant	3.011285
81	transitory	2.71619
82	yau	3.0635858
83	month	3.316435
84	microsoft	2.7234397
85	child	2.7416966
86	available	3.1980653
87	explosion	2.6400723
88	started	2.8367305
89	pure	3.4265094
90	look	3.1456513
91	tower	2.9067667
92	2001	2.9034386
93	contributed	3.4465082
94	special	3.8741503
95	disaster	2.6400723
96	protectionist	2.6400723
97	♯	3.0239305
98	library	3.8398628
99	earners	3.067851
100	middle	2.6622024
101	auction	3.352226
102	federation	2.8018162
103	called	2.9685671
104	slipped	2.6867216
105	opposition	2.6400723
106	streak	3.2733002
107	presents	3.6173608
108	movement	3.0714948
109	vegetables	3.2440257
110	ignored	2.6400723
111	hurt	2.6400723
112	perhaps	2.9302151
113	communities	3.2363615
114	55	3.145945
115	liffey	3.446287
116	catcher	3.163041
117	smooth	3.9685664
118	involves	3.0455675
119	direction	3.0809813
120	sentence	2.6546016
121	organic	3.4278388
122	paying	2.6517153
123	staying	3.2866874
124	minded	3.032125
125	vacation	3.3868544
126	associated	3.0350606
127	tooth	3.081707
128	famous	3.5481584
129	book	3.8765216
130	similar	2.9760492
131	34	2.9746325
132	sony	2.66332
133	patrollers	2.7697158
134	suit	3.0761545
135	pros	3.2096612
136	enable	3.3218927
137	shirt	3.3992095
138	bay	3.335443
139	mo	2.9013581
140	performs	3.5673428
141	queen	3.2389076
142	head	2.6400723
143	infection	2.8223703
144	interesting	3.742845
145	biggest	2.7921739
146	38	2.9500766
147	nato	2.6543033
148	brand	3.2818427
149	skeleton	2.6622846
150	9	2.9958115
151	outrage	2.6400723
152	chopping	2.6400723
153	subscription	3.1934707
154	6	3.1095643
155	america	2.6580417
156	hit	2.6400723
157	helps	4.1133804
158	lining	3.1307034
159	bottle	3.3024182
160	sinatra	3.3197432
161	station	2.967819
162	working	3.4705825
163	jia	3.1408753
164	robot	3.3853393
165	kearny	2.93027
166	content	3.0665305
167	same	3.1023004
168	your	3.760799
169	travels	3.8467078
170	point	2.6719165
171	counsel	2.985646
172	installation	3.2918
173	cupped	3.1530614
174	kavalier	3.070415
175	generous	4.6051016
176	lanky	3.066024
177	monday	3.073809
178	144	3.0622914
179	off	2.6444316
180	desecrating	2.6400723
181	breeze	3.9505768
182	sep	3.0597322
183	feelings	2.6482105
184	campus	3.3012514
185	powdery	2.77662
186	bicycle	3.5059435
187	hunchbacked	2.6426036
188	yellow	3.0522025
189	distinguish	3.0229585
190	fired	2.6400723
191	zombie	2.6400723
192	danger	2.6400723
193	brewers	3.0368562
194	dancers	3.5805817
195	militia	2.6400723
196	size	3.1501822
197	money	2.7840135
198	nesting	3.3593676
199	successful	3.887198
200	bombs	2.6400723
201	foragers	3.1281106
202	innovative	4.32155
203	fully	3.0354903
204	shooting	2.6400723
205	fabulous	5.3034663
206	sprint	3.078678
207	climate	2.9392986
208	ojai	3.3759093
209	voters	2.6892743
210	parents	2.641775
211	planning	2.945144
212	medit	3.0287535
213	editions	3.1812015
214	bottles	3.1390185
215	blinded	2.6400723
216	become	2.714712
217	toby	3.0134275
218	goals	3.382091
219	hardly	2.6400723
220	1998	3.0465102
221	antiquaries	2.9702568
222	deductible	3.0260715
223	body	2.688497
224	membership	3.2742107
225	hundred	2.8416374
226	building	3.2418501
227	tackle	2.9841852
228	took	3.107705
229	travel	3.405738
230	cleaning	3.150669
231	robber	2.6400723
232	night	3.1484385
233	archipelagos	3.0539384
234	4th	3.2543514
235	presented	3.3491094
236	cognitive	3.0425355
237	pieced	3.050299
238	southern	3.147593
239	shivered	2.6400723
240	support	3.604907
241	bidders	3.1941018
242	snotty	2.6400723
243	v	3.0128462
244	trunked	2.7443204
245	pound	2.843831
246	psi	2.899303
247	kingdoms	3.0117917
248	1990s	2.9036841
249	fail	2.6400723
250	dublin	3.0758438
251	nodded	3.481094
252	retail	3.1113582
253	informative	4.4468665
254	concern	2.6400723
255	characterized	2.9140484
256	descending	2.7580633
257	peak	3.1743705
258	hopeless	2.6400723
259	pulled	2.7151394
260	sites	3.078277
261	awesome	5.205392
262	household	2.9965231
263	mccracken	3.2924924
264	simplicity	4.2131696
265	opponents	2.6400723
266	bald	2.6400723
267	facially	2.6400723
268	houses	3.0074718
269	skating	3.5245988
270	reaching	3.2823353
271	gold	3.2506413
272	ray	3.2443483
273	relevant	3.0334733
274	element	3.3847318
275	connaught	3.0388932
276	moore	2.9502459
277	didn	2.6400723
278	owns	3.1214466
279	seventy	3.0859473
280	then	2.738202
281	trade	3.1062493
282	sukkot	3.2372046
283	accepting	3.1782284
284	nardo	3.030368
285	tasks	3.082837
286	different	2.9969838
287	swimming	3.5568984
288	free	3.7400126
289	scepticism	3.0537174
290	registration	2.7817338
291	detail	3.025087
292	oakland	2.9860122
293	/	2.9039392
294	30am	3.0422168
295	this	3.0721216
296	salaries	2.641466
297	influence	3.034245
298	west	2.8458493
299	toward	3.1752946
300	deserve	3.3874545
301	bad	2.6400723
302	election	2.6400723
303	negotiations	2.9344516
304	finished	3.9240432
305	yielded	3.2012117
306	distance	3.0146933
307	critics	2.6400723
308	crimes	2.6400723
309	herb	3.4076235
310	navigation	3.2235632
311	paper	3.010353
312	reserves	3.1101146
313	warren	2.8989797
314	statistics	2.6400723
315	color	3.1415148
316	choice	3.382029
317	quarterback	2.9457235
318	dropped	2.6400723
319	motive	2.6400723
320	removed	2.6684418
321	play	3.5036573
322	broken	2.6400723
323	pass	3.0480897
324	edge	3.0781555
325	termination	2.6400723
326	behavior	2.7211003
327	prince	3.3326097
328	commerce	3.1942196
329	%,	3.070415
330	forms	3.0534666
331	side	3.1147518
332	magic	3.8671627
333	1960	3.08786
334	selling	2.9393573
335	subsidy	2.8609333
336	squares	3.197369
337	992	3.0447311
338	rashid	3.1314504
339	poison	2.6400723
340	found	3.2604313
341	owners	2.8177147
342	exhaustively	2.6993618
343	risen	2.812822
344	information	3.039788
345	style	3.3775544
346	tried	2.6400723
347	ants	2.9480145
348	these	3.0250795
349	indeed	3.314067
350	salvaged	2.9664638
351	liberals	2.6400723
352	logarithmized	3.070415
353	cooperation	4.0223856
354	11	2.8683639
355	cover	2.8617408
356	redskin	2.7203803
357	escalator	3.008425
358	figures	2.928023
359	approached	3.0499232
360	a	3.0059586
361	hurts	2.6400723
362	levels	3.1457257
363	eliminate	2.7895374
364	soon	3.2607875
365	internet	2.6953526
366	disregarding	2.6400723
367	potting	3.5497181
368	respected	3.6238036
369	adrienne	3.1171618
370	dollars	3.2623308
371	david	3.034395
372	ways	3.3148978
373	grill	3.1079087
374	delicious	4.8980694
375	alive	3.4510016
376	h	2.9747956
