	empathy	distress	mean
1	0.35434671535590373	0.14451388171775356	0.24943029853682863
2	0.5658023441971557	0.35181060502355455	0.4588064746103551
3	0.20072277147024561	0.29321181266200746	0.24696729206612655
4	0.38093668861151103	0.3421615446072468	0.36154911660937894
5	0.4862204100604292	0.5021961262320126	0.4942082681462209
6	0.5495230946873275	0.26157591529141805	0.4055495049893728
7	-0.07210216059125914	0.13051216569787094	0.029205002553305902
8	0.6071128674852686	0.4150702381910696	0.5110915528381691
9	0.1598252292659591	0.41734431105112063	0.2885847701585399
10	0.03871605797487457	0.32249419373340027	0.1806051258541374
stdev	0.2357724515857158	0.1173856155724794	0.15289889083547398
mean	0.3271104018517417	0.3180890794207455	0.3225997406362434
