	tokens	ratings
0	--	4.2130356
1	either	0.73439527
2	millions	18.829288
3	understood	11.000385
4	tellers	12.089847
5	protect	11.278619
6	sanctions	8.860412
7	cost	8.629178
8	ship	10.980817
9	sham	5.464572
10	voted	5.7725534
11	schools	11.890686
12	lmfao	3.7087793
13	keeping	2.7326329
14	sacrifice	13.866819
15	greece	7.8791695
16	police	15.673625
17	deaths	25.857164
18	suffering	32.102135
19	,,,	3.9366279
20	half	7.4177694
21	4	12.528164
22	revenge	15.609686
23	soo	9.537568
24	outcome	5.1161804
25	called	7.8166256
26	sharply	9.394929
27	usually	0.5100516
28	cage	12.83559
29	information	11.761015
30	procedure	1.5551326
31	brampton	19.664703
32	website	10.096589
33	consumer	6.711256
34	fact	4.880769
35	far	0.51753825
36	earthly	11.981404
37	rheumatism	11.256125
38	system	8.368351
39	nevada	5.6764326
40	moody	12.654722
41	compared	3.931892
42	publicly	7.589552
43	approval	16.600336
44	foul	14.455409
45	daring	4.710125
46	diapers	26.914268
47	try	2.9070303
48	mark	5.042801
49	done	9.640344
50	suffer	22.60053
51	astray	7.8766623
52	products	10.084266
53	species	6.469572
54	marea	10.159422
55	unfortunate	12.211085
56	regardless	0.55604935
57	mine	7.578786
58	gues	0.62015265
59	reservations	15.942026
60	both	3.5035465
61	someday	0.5229016
62	boss	9.782131
63	re	6.2546997
64	really	3.2995512
65	runways	14.633339
66	speaker	4.517612
67	free	6.8731155
68	tech	1.4078739
69	shocked	18.423542
70	regard	4.7651224
71	responsibility	17.775885
72	helps	3.9176874
73	complications	0.68298244
74	death	19.371191
75	widowed	12.846795
76	farmland	22.673662
77	protection	7.5238266
78	serial	4.283783
79	shameful	25.053421
80	likely	0.6073164
81	usable	3.2869983
82	they	5.4872627
83	nominating	7.119294
84	number	10.030778
85	discipline	15.925807
86	shamed	15.655956
87	lender	16.65596
88	certainly	0.73018813
89	monetary	5.5228376
90	any	0.8240808
91	u	2.8374376
92	somebody	4.0516186
93	us	11.323283
94	teacher	18.824389
95	"""."	3.9366279
96	afternoon	8.550148
97	no	1.7287239
98	18	15.167408
99	amount	6.3941402
100	cremate	36.394028
101	aside	0.92772144
102	expected	1.4572461
103	lenses	3.7815297
104	three	10.092368
105	few	0.65323675
106	weight	9.848022
107	ll	3.9932833
108	lazier	1.5018804
109	depends	0.51577324
110	agree	3.7632396
111	hide	0.58191895
112	chaos	14.456474
113	counts	7.9988976
114	turn	12.907632
115	growth	16.35086
116	attacking	8.932931
117	figure	0.95592517
118	basic	3.9246979
119	combined	9.196182
120	to	7.339203
121	ideals	5.449828
122	remote	2.4007285
123	water	16.169527
124	crying	18.496675
125	punished	19.359022
126	anyways	0.5061127
127	!!!	3.9366279
128	rough	12.2032795
129	training	11.229867
130	break	8.431761
131	er	0.69411194
132	be	5.587391
133	doubt	0.82342696
134	jerry	6.250145
135	stuff	0.510255
136	legal	1.6905758
137	mexican	4.5509434
138	raising	5.724326
139	multiple	11.17296
140	coutries	14.518288
141	mediterranean	9.09577
142	asking	6.2232933
143	underlying	6.0420856
144	china	6.8191624
145	deserves	6.806203
146	junk	1.2089038
147	causing	11.107717
148	prosecutors	24.852858
149	ground	11.30475
150	initiatives	11.393336
151	boycott	13.073675
152	cared	0.51993585
153	every	11.259696
154	strains	3.6071057
155	sounds	1.8908246
156	sensational	6.1640797
157	nightmare	14.80928
158	period	4.8273315
159	friend	16.375238
160	crazier	3.151977
161	senseless	31.643219
