	empathy	distress	mean
1	0.4188543631360983	0.28718640621696195	0.35302038467653013
2	0.5681460949046155	0.31019479997582083	0.43917044744021816
3	0.1696976968100261	0.4901175712089635	0.3299076340094948
4	0.40294990246575935	0.4350444633232991	0.41899718289452925
5	0.5662487512218142	0.5560270038267004	0.5611378775242573
6	0.18043084178027777	0.24987863621069809	0.21515473899548793
7	0.5613848383379418	0.275304218173274	0.4183445282556079
8	0.2918664714213296	0.28441017321534584	0.2881383223183377
9	0.2065077966063848	0.25398656072927484	0.23024717866782982
10	0.44225730100022337	0.45970068021815413	0.4509789906091888
stdev	0.16014415375318927	0.11302107083224813	0.10786622393894774
mean	0.38083440576844707	0.36018505130984924	0.3705097285391482
