	empathy	distress	mean
1	0.4119725599963525	0.46418067652209494	0.4380766182592237
2	0.5542794293935545	0.4822900719379708	0.5182847506657626
3	0.46449487772398873	0.42623771051843823	0.4453662941212135
4	0.26745476202687113	0.26749759923801864	0.2674761806324449
5	0.5168736240463564	0.18056434740030877	0.3487189857233326
6	0.5105991128288654	0.4642103726406906	0.48740474273477796
7	0.2194515990563778	0.5825339167328119	0.4009927578945948
8	0.5626123538265004	0.4233796817708511	0.49299601779867575
9	0.1071951227164795	0.40969753888573957	0.2584463308011095
10	0.1994317531192351	0.33227413068353856	0.26585294190138686
stdev	0.1677040097813392	0.11539745550744542	0.10079118564312442
mean	0.3814365194734581	0.4032866046330462	0.3923615620532522
