	empathy	distress	mean
1	0.3699323142873253	0.4817818486980107	0.425857081492668
2	0.586033249015192	0.45608279175708977	0.5210580203861409
3	0.3749115051458393	0.42869179315984157	0.40180164915284045
4	0.2017610322044271	0.29688776301517217	0.24932439760979963
5	0.4944338531112244	0.36201545025773896	0.42822465168448165
6	0.4970310249003998	0.4613881791233195	0.47920960201185964
7	0.03158060976899986	0.5208600849454855	0.2762203473572427
8	0.644812500500259	0.42493205814115076	0.5348722793207048
9	0.1523682843463243	0.4105207172100711	0.2814445007781977
10	0.12578170501827976	0.40946335262660283	0.2676225288224413
stdev	0.21049557531081503	0.06284668731537726	0.10974037529721103
mean	0.34786460782982703	0.4252624038934483	0.3865635058616376
